ID, Unit Materials Available Date, Student Submit ASR Date, Dates Difference

1,3/8/2013,3/17/2013,9

2,3/8/2013,Unfinished,None

3,3/8/2013,3/11/2013,3

4,3/8/2013,3/16/2013,8

5,3/8/2013,3/17/2013,9

6,3/8/2013,3/17/2013,9

7,3/8/2013,3/11/2013,3

8,3/8/2013,3/19/2013,11

9,3/8/2013,3/18/2013,10

10,3/8/2013,3/15/2013,7

11,3/8/2013,3/21/2013,13

12,3/8/2013,3/10/2013,2

13,3/8/2013,3/18/2013,10

14,3/8/2013,3/17/2013,9

15,3/8/2013,3/17/2013,9

16,3/8/2013,3/12/2013,4

17,3/8/2013,3/15/2013,7

18,3/8/2013,3/8/2013,0

19,3/8/2013,3/19/2013,11

20,3/8/2013,3/15/2013,7

21,3/8/2013,3/9/2013,1

22,3/8/2013,3/13/2013,5

23,3/8/2013,Unfinished,None

24,3/8/2013,3/13/2013,5

25,3/8/2013,3/18/2013,10

26,3/8/2013,3/13/2013,5

27,3/8/2013,3/19/2013,11

28,3/8/2013,3/18/2013,10

29,3/8/2013,3/19/2013,11

30,3/8/2013,3/18/2013,10

31,3/8/2013,3/17/2013,9

32,3/8/2013,3/14/2013,6

33,3/8/2013,3/17/2013,9

34,3/8/2013,3/9/2013,1

35,3/8/2013,3/25/2013,17

36,3/8/2013,3/9/2013,1

37,3/8/2013,3/19/2013,11

38,3/8/2013,3/14/2013,6

39,3/8/2013,3/16/2013,8

40,3/8/2013,3/16/2013,8

41,3/8/2013,3/16/2013,8

42,3/8/2013,3/10/2013,2

43,3/8/2013,3/16/2013,8

44,3/8/2013,3/16/2013,8

45,3/8/2013,3/19/2013,11

46,3/8/2013,3/15/2013,7

47,3/8/2013,3/18/2013,10

48,3/8/2013,3/26/2013,18

49,3/8/2013,3/19/2013,11

50,3/8/2013,3/13/2013,5

51,3/8/2013,3/17/2013,9

52,3/8/2013,3/16/2013,8

53,3/8/2013,3/10/2013,2

54,3/8/2013,3/11/2013,3

55,3/8/2013,3/18/2013,10

56,3/8/2013,3/13/2013,5

57,3/8/2013,3/17/2013,9

58,3/8/2013,3/19/2013,11

59,3/8/2013,3/17/2013,9

60,3/8/2013,3/15/2013,7

61,3/8/2013,3/13/2013,5

62,3/8/2013,3/17/2013,9

63,3/8/2013,3/18/2013,10

64,3/8/2013,3/19/2013,11

65,3/8/2013,3/19/2013,11

66,3/8/2013,3/13/2013,5

67,3/8/2013,3/14/2013,6

68,3/8/2013,3/12/2013,4

69,3/8/2013,3/18/2013,10

70,3/8/2013,3/15/2013,7

71,3/8/2013,3/17/2013,9

72,3/8/2013,3/18/2013,10

73,3/8/2013,3/17/2013,9

74,3/8/2013,3/19/2013,11

75,3/8/2013,3/9/2013,1

76,3/8/2013,3/19/2013,11

77,3/8/2013,3/14/2013,6

78,3/8/2013,3/19/2013,11

79,3/8/2013,3/17/2013,9

80,3/8/2013,3/14/2013,6

81,3/8/2013,3/14/2013,6

82,3/8/2013,3/19/2013,11

83,3/8/2013,3/19/2013,11

84,3/8/2013,3/9/2013,1

85,3/8/2013,3/13/2013,5

86,3/8/2013,3/12/2013,4

87,3/8/2013,3/19/2013,11

88,3/8/2013,3/16/2013,8

89,3/8/2013,3/12/2013,4

90,3/8/2013,3/17/2013,9

91,3/8/2013,3/17/2013,9

92,3/8/2013,3/17/2013,9

93,3/8/2013,3/19/2013,11

94,3/8/2013,3/18/2013,10

95,3/8/2013,3/13/2013,5

96,3/8/2013,Unfinished,None

97,3/8/2013,3/17/2013,9

98,3/8/2013,3/15/2013,7

99,3/8/2013,3/21/2013,13

100,3/8/2013,3/13/2013,5

101,3/8/2013,3/13/2013,5

102,3/8/2013,3/13/2013,5

103,3/8/2013,3/13/2013,5

104,3/8/2013,3/16/2013,8

105,3/8/2013,3/13/2013,5

106,3/8/2013,Unfinished,None

107,3/8/2013,3/16/2013,8

108,3/8/2013,3/17/2013,9

109,3/8/2013,3/19/2013,11

110,3/8/2013,3/16/2013,8

