ID, Unit Materials Available Date, Student Submit ASR 7a Date, Dates Difference of 7a, Student Submit ASR 7b Date, Dates Difference of 7b

1,3/15/2013,3/23/2013,8,3/23/2013,8

2,3/15/2013,Unfinished,None,Unfinished,None

3,3/15/2013,3/21/2013,6,3/21/2013,6

4,3/15/2013,3/16/2013,1,3/23/2013,8

5,3/15/2013,3/23/2013,8,3/24/2013,9

6,3/15/2013,3/24/2013,9,3/24/2013,9

7,3/15/2013,3/20/2013,5,3/20/2013,5

8,3/15/2013,3/25/2013,10,3/25/2013,10

9,3/15/2013,3/23/2013,8,3/25/2013,10

10,3/15/2013,3/22/2013,7,3/22/2013,7

11,3/15/2013,3/26/2013,11,3/26/2013,11

12,3/15/2013,3/17/2013,2,3/17/2013,2

13,3/15/2013,3/23/2013,8,3/23/2013,8

14,3/15/2013,3/25/2013,10,3/25/2013,10

15,3/15/2013,3/24/2013,9,3/24/2013,9

16,3/15/2013,3/22/2013,7,3/22/2013,7

17,3/15/2013,3/21/2013,6,3/21/2013,6

18,3/15/2013,3/17/2013,2,3/17/2013,2

19,3/15/2013,3/25/2013,10,3/26/2013,11

20,3/15/2013,3/19/2013,4,3/19/2013,4

21,3/15/2013,3/17/2013,2,3/17/2013,2

22,3/15/2013,3/18/2013,3,3/20/2013,5

23,3/15/2013,Unfinished,None,Unfinished,None

24,3/15/2013,3/25/2013,10,3/25/2013,10

25,3/15/2013,3/25/2013,10,3/25/2013,10

26,3/15/2013,3/20/2013,5,3/20/2013,5

27,3/15/2013,3/26/2013,11,3/26/2013,11

28,3/15/2013,3/25/2013,10,3/25/2013,10

29,3/15/2013,3/24/2013,9,3/24/2013,9

30,3/15/2013,3/23/2013,8,3/24/2013,9

31,3/15/2013,3/23/2013,8,3/25/2013,10

32,3/15/2013,3/17/2013,2,3/21/2013,6

33,3/15/2013,3/22/2013,7,3/22/2013,7

34,3/15/2013,3/19/2013,4,3/19/2013,4

35,3/15/2013,3/25/2013,10,3/26/2013,11

36,3/15/2013,3/16/2013,1,3/16/2013,1

37,3/15/2013,3/26/2013,11,3/26/2013,11

38,3/15/2013,3/21/2013,6,3/21/2013,6

39,3/15/2013,3/23/2013,8,3/24/2013,9

40,3/15/2013,3/23/2013,8,3/23/2013,8

41,3/15/2013,3/25/2013,10,3/25/2013,10

42,3/15/2013,3/18/2013,3,3/18/2013,3

43,3/15/2013,3/20/2013,5,3/24/2013,9

44,3/15/2013,3/23/2013,8,3/23/2013,8

45,3/15/2013,3/23/2013,8,3/26/2013,11

46,3/15/2013,3/25/2013,10,3/25/2013,10

47,3/15/2013,3/26/2013,11,3/26/2013,11

48,3/15/2013,3/26/2013,11,3/26/2013,11

49,3/15/2013,3/24/2013,9,3/26/2013,11

50,3/15/2013,3/20/2013,5,3/21/2013,6

51,3/15/2013,3/20/2013,5,3/24/2013,9

52,3/15/2013,3/19/2013,4,3/19/2013,4

53,3/15/2013,3/19/2013,4,3/19/2013,4

54,3/15/2013,3/19/2013,4,3/19/2013,4

55,3/15/2013,3/26/2013,11,3/26/2013,11

56,3/15/2013,3/26/2013,11,3/26/2013,11

57,3/15/2013,3/20/2013,5,3/23/2013,8

58,3/15/2013,3/26/2013,11,3/26/2013,11

59,3/15/2013,3/24/2013,9,3/24/2013,9

60,3/15/2013,3/20/2013,5,3/20/2013,5

61,3/15/2013,3/18/2013,3,3/19/2013,4

62,3/15/2013,3/23/2013,8,3/23/2013,8

63,3/15/2013,3/24/2013,9,3/24/2013,9

64,3/15/2013,3/26/2013,11,3/26/2013,11

65,3/15/2013,3/25/2013,10,3/25/2013,10

66,3/15/2013,3/20/2013,5,3/20/2013,5

67,3/15/2013,3/21/2013,6,3/21/2013,6

68,3/15/2013,3/20/2013,5,3/23/2013,8

69,3/15/2013,3/24/2013,9,3/24/2013,9

70,3/15/2013,3/21/2013,6,3/22/2013,7

71,3/15/2013,3/24/2013,9,3/24/2013,9

72,3/15/2013,3/19/2013,4,3/19/2013,4

73,3/15/2013,3/24/2013,9,3/24/2013,9

74,3/15/2013,3/26/2013,11,3/26/2013,11

75,3/15/2013,3/17/2013,2,3/17/2013,2

76,3/15/2013,3/23/2013,8,3/20/2013,5

