ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Time Test #1 A,Time Test #1 B,Time Test #2 Part #1 A,Time Test #2 Part #1 B,Time Test #2 Part #2 A,Time Test #2 Part #2 B,Time Test #3 A,Time Test #3 B,Time Test #4 A,Time Test #4 B,Time Test #5 A,Time Test #5 B,Time Test #6 A,Time Test #6 B,Time Test #7 A,Time Test #7 B,Average time taking tests in minutes,Assignments_num_submissions,Procedures Quiz,Surveys,CyberRat Assignments,Online meetings attended,num_submissions,num_submissions_testb,num_submissions,Overall Grade,Above Average?
1,47,6.258426966,72,16.63333333,11.96666667,18.73333333,18.16666667,10.56666667,9.433333333,22.33333333,19.61666667,19.61666667,22.11666667,14.05,17.05,6.333333333,7.45,21.45,19.16666667,15.91770833,10,2,5,18,3,0,9,9,1000.79,Y
2,77,3.528089888,39,13.06666667,18.23333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.65,10,6,9,4,3,0,8,9,957.03,Y
3,30,9.449438202,126,29.13333333,16.93333333,28.48333333,27.41666667,15.61666667,14.3,35.3,23.75,26.38333333,38.38333333,19.9,28.8,10.4,7.183333333,16.06666667,14.45,22.03125,10,3,13,1,11,0,6,9,900.63,Y
4,42,9.134831461,124,39.35,29.53333333,105.8166667,66.83333333,63.01666667,-,1398.516667,-,65.86666667,65.85,50.95,43.9,48.98333333,13.78333333,92.86666667,78.56666667,154.5595238,10,4,2,0,6,0,8,9,897.75,N
5,54,5.842696629,88,24.9,-,24.05,-,15.25,-,24.26666667,-,17.81666667,-,12.4,-,8.466666667,-,17.4,-,18.06875,10,2,5,0,6,0,9,9,922.97,Y
6,32,10.42696629,142,55.56666667,31.48333333,52.08333333,72.15,42.35,51.03333333,79.13333333,71.4,60.41666667,103.9833333,-,1347.3,28.31666667,21.71666667,1384.733333,50.93333333,230.1733333,10,2,13,5,6,0,5,9,909.7,Y
7,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,10,0,0,0,0,0,4,9,907.63,Y
8,38,10.02247191,121,43.9,39.83333333,47.7,28.26666667,24.53333333,30.95,26.5,45.26666667,68.76666667,59.66666667,30.81666667,76.73333333,9.016666667,13.06666667,88.96666667,113.1333333,46.69479167,10,3,4,0,18,0,8,2,912.36,Y
9,60,6.853932584,57,19.11666667,-,18.48333333,-,14.13333333,-,23.38333333,-,24.18333333,-,14.03333333,-,9.95,-,15.4,-,17.33541667,10,3,4,2,1,0,4,9,968.59,Y
10,80,2.292134831,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,10,3,6,0,8,0,5,9,-,N
11,50,6.943820225,93,49.93333333,59.8,103.2166667,-,59.33333333,1363.3,-,93.96666667,1350.533333,61.78333333,80.45,-,69.31666667,-,1360.95,-,422.9621212,10,2,2,9,12,0,5,9,974.05,Y
12,28,10.56179775,135,27.75,18.81666667,53.68333333,-,49.51666667,61.86666667,85.05,66.25,89.51666667,-,44.08333333,51.4,16.46666667,-,42.9,-,50.60833333,10,2,5,12,0,0,5,9,1005.31,Y
13,29,10.20224719,154,32.45,37.06666667,62,-,43,56.28333333,68.06666667,82.66666667,83.98333333,-,31.85,-,18.4,20.21666667,52.18333333,-,49.01388889,10,2,4,3,10,0,4,9,975.5,Y
14,32,9.179775281,125,13.86666667,12.95,21.78333333,18.85,16.06666667,14.88333333,21.15,30.75,19.91666667,24.83333333,20.1,21.96666667,11.23333333,5.516666667,19.88333333,24.15,18.61875,10,2,4,2,5,0,6,8,990.02,Y
15,41,7.943820225,84,24.51666667,15.38333333,22.45,-,21.25,11.76666667,33.33333333,23.9,27.8,-,17.65,19.76666667,18.06666667,-,20.91666667,-,21.4,10,3,4,1,2,0,8,9,983.5,Y
16,45,8.202247191,113,16.18333333,-,20.4,18.68333333,25.33333333,16.05,28.5,-,34.11666667,-,22.88333333,-,11.66666667,6.85,20.03333333,18.03333333,19.89444444,10,2,5,2,7,0,7,9,1033.02,Y
17,51,6.101123596,78,32.16666667,-,1396.916667,-,26.43333333,-,41.08333333,-,25.56666667,30.31666667,19.23333333,-,12.53333333,10.05,64.6,1414.6,279.4090909,10,2,3,0,5,0,6,9,962.91,Y
18,58,6.528089888,65,19.81666667,9.1,23.4,-,-,14.4,16.53333333,-,19.78333333,-,13.8,25.25,13.06666667,4.716666667,14.65,15.81666667,15.86111111,10,3,3,0,1,0,1,9,840.61,N
19,32,14.17977528,123,16.55,21.88333333,22.8,15.61666667,18.61666667,9.35,22.06666667,23.75,34.9,27.7,13.95,20.93333333,12.4,-,21.73333333,25.45,20.51333333,10,2,3,9,3,0,3,9,995.77,Y
20,49,5.966292135,86,15.93333333,7.3,18.16666667,11.08333333,8.483333333,5.366666667,23.71666667,20.21666667,26.26666667,-,13.36666667,18.1,5.766666667,3.45,11.15,-,13.4547619,10,2,2,0,1,0,8,9,921.83,Y
21,51,6.97752809,65,17.43333333,16.7,40.51666667,-,21.13333333,18.76666667,33.2,-,22.88333333,35.88333333,30.23333333,-,17.7,12.9,28.98333333,56.2,27.11794872,10,3,4,7,0,0,8,9,872.18,N
22,31,10.16853933,124,32.08333333,-,25.18333333,-,26.13333333,-,34.18333333,-,52.46666667,-,24.11666667,-,17.51666667,-,28.03333333,-,29.96458333,10,3,8,6,10,0,9,9,986.94,Y
23,73,3.696629213,33,21.21666667,16.1,30.2,34.41666667,14.6,1.25,100.4333333,-,28.81666667,1.35,21.63333333,24.33333333,10.33333333,0.916666667,30.58333333,1.516666667,22.51333333,10,2,3,1,3,0,5,9,974.75,Y
24,47,7.651685393,75,24.3,13.71666667,28.3,-,19.15,-,39.83333333,-,42.93333333,12.55,21.46666667,-,11.16666667,-,1411.65,-,162.5066667,10,3,5,0,6,1,9,9,940.63,Y
25,50,8.505617978,80,20.35,25.13333333,29.38333333,36.51666667,36.66666667,18.75,26.45,1415.766667,71.08333333,-,24.58333333,1416.566667,9.05,13.03333333,22.41666667,39.28333333,213.6688889,10,7,4,8,0,0,9,2,1001.2,Y
26,41,7,96,14.68333333,32.38333333,26.45,17.78333333,16,7.283333333,15.71666667,23.18333333,19.7,25.91666667,9.383333333,14.21666667,5.95,-,18.7,13,17.35666667,10,2,3,3,5,0,2,9,801.57,N
27,35,8.314606742,99,20.23333333,9.85,23.76666667,20.4,14.75,1428.366667,25.98333333,38.7,1410.733333,37.66666667,21.1,28.6,5.766666667,6.633333333,31.25,25.45,196.828125,10,2,4,0,7,0,9,9,946.68,Y
28,53,9.93258427,65,17.95,13.5,29.46666667,29.01666667,23.96666667,-,28,52.75,19.61666667,-,18.63333333,-,9.933333333,7.716666667,23.25,-,22.81666667,10,4,3,16,13,0,8,9,822.24,N
29,33,13.80898876,135,15.71666667,25.65,37.8,23.06666667,25.55,14.48333333,46.46666667,47.78333333,40.73333333,32.61666667,28.45,29.35,16.21666667,8.133333333,38.26666667,23.73333333,28.37604167,10,2,5,28,4,0,6,9,857.44,N
30,53,8.573033708,93,-,1413.866667,-,73.01666667,-,18.05,-,34.23333333,-,42.38333333,-,51.2,-,26.45,61.43333333,47.41666667,196.45,10,3,5,6,1,0,7,9,980.46,Y
31,28,9.97752809,142,66.61666667,-,119.9,76.7,90.06666667,-,73.2,-,72.2,-,84.53333333,-,64.11666667,-,88.71666667,-,81.78333333,10,3,11,12,5,0,5,9,1001.46,Y
32,58,4.157303371,52,27.8,27.01666667,57.01666667,63.21666667,43.3,19.41666667,53.78333333,61.61666667,38.61666667,68.43333333,50.96666667,55.56666667,48.2,30.25,71.91666667,58.78333333,48.49375,10,1,4,0,0,0,2,9,942.78,Y
33,26,9.775280899,142,22.9,34.08333333,44.11666667,50.7,35.38333333,28.36666667,54.65,-,72.33333333,64.96666667,42.38333333,70.41666667,25.93333333,15.9,55.33333333,33.98333333,43.43,10,4,5,0,0,0,9,9,969.32,Y
