ID, Unit2 Materials Available Date, Student Submit ASR Unit 2A Date, Dates Difference of 2A, Student Submit ASR Unit 2B Date, Dates Difference of 2B, Student Submit ASR Unit 2C Date, Dates Difference of 2C

1,1/25/2013,1/29/2013,4,1/29/2013,4,2/7/2013,13

2,1/25/2013,2/5/2013,11,Unfinished,None,Unfinished,None

3,1/25/2013,1/28/2013,3,1/29/2013,4,2/5/2013,11

4,1/25/2013,1/31/2013,6,1/31/2013,6,2/11/2013,17

5,1/25/2013,1/28/2013,3,2/2/2013,8,2/8/2013,14

6,1/25/2013,1/24/2013,-1,2/3/2013,9,2/10/2013,16

7,1/25/2013,1/27/2013,2,1/30/2013,5,2/6/2013,12

8,1/25/2013,2/3/2013,9,2/4/2013,10,2/10/2013,16

9,1/25/2013,1/29/2013,4,2/5/2013,11,2/10/2013,16

10,1/25/2013,1/29/2013,4,1/31/2013,6,2/7/2013,13

11,1/25/2013,1/31/2013,6,1/31/2013,6,2/10/2013,16

12,1/25/2013,1/29/2013,4,1/29/2013,4,2/2/2013,8

13,1/25/2013,2/4/2013,10,2/4/2013,10,2/12/2013,18

14,1/25/2013,2/1/2013,7,2/2/2013,8,2/9/2013,15

15,1/25/2013,2/4/2013,10,2/4/2013,10,2/8/2013,14

16,1/25/2013,1/30/2013,5,1/30/2013,5,2/6/2013,12

17,1/25/2013,1/28/2013,3,1/29/2013,4,2/7/2013,13

18,1/25/2013,1/27/2013,2,1/27/2013,2,2/3/2013,9

19,1/25/2013,2/1/2013,7,2/5/2013,11,2/12/2013,18

20,1/25/2013,1/30/2013,5,1/28/2013,3,2/5/2013,11

21,1/25/2013,1/27/2013,2,1/27/2013,2,2/2/2013,8

22,1/25/2013,1/27/2013,2,1/30/2013,5,2/6/2013,12

23,1/25/2013,1/29/2013,4,Unfinished,None,Unfinished,None

24,1/25/2013,1/27/2013,2,1/30/2013,5,2/3/2013,9

25,1/25/2013,2/4/2013,10,2/4/2013,10,2/10/2013,16

