ID, Unit3 Materials Available Date, Student Submit ASR Date, Dates Difference

1,2/8/2013,2/18/2013,10

2,2/8/2013,Unfinished,None

3,2/8/2013,2/13/2013,5

4,2/8/2013,2/16/2013,8

5,2/8/2013,2/17/2013,9

6,2/8/2013,2/17/2013,9

7,2/8/2013,2/16/2013,8

8,2/8/2013,2/18/2013,10

9,2/8/2013,2/19/2013,11

10,2/8/2013,2/14/2013,6

11,2/8/2013,2/16/2013,8

12,2/8/2013,2/12/2013,4

13,2/8/2013,2/20/2013,12

14,2/8/2013,2/18/2013,10

15,2/8/2013,2/16/2013,8

16,2/8/2013,2/13/2013,5

17,2/8/2013,2/14/2013,6

18,2/8/2013,2/10/2013,2

19,2/8/2013,2/19/2013,11

20,2/8/2013,2/11/2013,3

21,2/8/2013,2/11/2013,3

22,2/8/2013,2/13/2013,5

23,2/8/2013,Unfinished,None

24,2/8/2013,2/15/2013,7

25,2/8/2013,2/19/2013,11

26,2/8/2013,2/13/2013,5

27,2/8/2013,2/19/2013,11

28,2/8/2013,2/17/2013,9

29,2/8/2013,2/19/2013,11

30,2/8/2013,2/13/2013,5

31,2/8/2013,2/18/2013,10

32,2/8/2013,2/17/2013,9

33,2/8/2013,2/15/2013,7

34,2/8/2013,2/11/2013,3

35,2/8/2013,3/8/2013,28

36,2/8/2013,1/17/2013,-22

37,2/8/2013,2/18/2013,10

38,2/8/2013,2/15/2013,7

39,2/8/2013,2/12/2013,4

40,2/8/2013,2/13/2013,5

41,2/8/2013,2/18/2013,10

42,2/8/2013,2/12/2013,4

43,2/8/2013,2/16/2013,8

44,2/8/2013,2/16/2013,8

45,2/8/2013,2/19/2013,11

46,2/8/2013,2/17/2013,9

47,2/8/2013,2/18/2013,10

48,2/8/2013,3/17/2013,37

49,2/8/2013,2/19/2013,11

50,2/8/2013,2/14/2013,6

51,2/8/2013,2/11/2013,3

52,2/8/2013,2/16/2013,8

53,2/8/2013,2/10/2013,2

54,2/8/2013,2/12/2013,4

55,2/8/2013,2/19/2013,11

56,2/8/2013,2/17/2013,9

57,2/8/2013,2/16/2013,8

58,2/8/2013,2/19/2013,11

59,2/8/2013,2/18/2013,10

60,2/8/2013,2/17/2013,9

61,2/8/2013,2/13/2013,5

62,2/8/2013,2/14/2013,6

63,2/8/2013,2/19/2013,11

64,2/8/2013,2/19/2013,11

65,2/8/2013,2/19/2013,11

66,2/8/2013,2/12/2013,4

67,2/8/2013,2/12/2013,4

68,2/8/2013,2/16/2013,8

69,2/8/2013,2/18/2013,10

70,2/8/2013,2/15/2013,7

71,2/8/2013,2/17/2013,9

72,2/8/2013,2/10/2013,2

73,2/8/2013,2/16/2013,8

74,2/8/2013,2/16/2013,8

75,2/8/2013,2/10/2013,2

76,2/8/2013,2/19/2013,11

77,2/8/2013,2/16/2013,8

78,2/8/2013,2/18/2013,10

79,2/8/2013,2/16/2013,8

80,2/8/2013,2/18/2013,10

81,2/8/2013,2/14/2013,6

82,2/8/2013,2/17/2013,9

83,2/8/2013,2/23/2013,15

84,2/8/2013,2/9/2013,1

85,2/8/2013,2/13/2013,5

86,2/8/2013,2/11/2013,3

87,2/8/2013,2/18/2013,10

88,2/8/2013,2/17/2013,9

89,2/8/2013,2/13/2013,5

90,2/8/2013,2/16/2013,8

91,2/8/2013,2/16/2013,8

92,2/8/2013,3/6/2013,26

93,2/8/2013,2/19/2013,11

94,2/8/2013,2/17/2013,9

95,2/8/2013,2/15/2013,7

96,2/8/2013,2/26/2013,18

97,2/8/2013,3/12/2013,32

98,2/8/2013,2/17/2013,9

99,2/8/2013,3/1/2013,21

100,2/8/2013,2/16/2013,8

101,2/8/2013,2/16/2013,8

102,2/8/2013,2/13/2013,5

103,2/8/2013,2/18/2013,10

104,2/8/2013,2/18/2013,10

105,2/8/2013,2/14/2013,6

106,2/8/2013,2/25/2013,17

107,2/8/2013,2/17/2013,9

108,2/8/2013,2/13/2013,5

109,2/8/2013,2/19/2013,11

110,2/8/2013,2/18/2013,10

