ID, Unit Materials Available Date, Student Submit ASR Date, Dates Difference

1,2/15/2013,3/3/2013,16

2,2/15/2013,Unfinished,None

3,2/15/2013,2/27/2013,12

4,2/15/2013,3/5/2013,18

5,2/15/2013,3/3/2013,16

6,2/15/2013,2/24/2013,9

7,2/15/2013,2/26/2013,11

8,2/15/2013,3/4/2013,17

9,2/15/2013,3/5/2013,18

10,2/15/2013,2/17/2013,2

11,2/15/2013,2/23/2013,8

12,2/15/2013,2/24/2013,9

13,2/15/2013,3/5/2013,18

14,2/15/2013,3/3/2013,16

15,2/15/2013,3/3/2013,16

16,2/15/2013,2/23/2013,8

17,2/15/2013,2/20/2013,5

18,2/15/2013,2/24/2013,9

19,2/15/2013,3/5/2013,18

20,2/15/2013,2/19/2013,4

21,2/15/2013,3/2/2013,15

22,2/15/2013,2/18/2013,3

23,2/15/2013,Unfinished,None

24,2/15/2013,3/2/2013,15

25,2/15/2013,2/22/2013,7

26,2/15/2013,2/20/2013,5

27,2/15/2013,3/5/2013,18

28,2/15/2013,2/24/2013,9

29,2/15/2013,2/25/2013,10

30,2/15/2013,3/3/2013,16

31,2/15/2013,3/3/2013,16

32,2/15/2013,3/5/2013,18

33,2/15/2013,3/2/2013,15

34,2/15/2013,2/25/2013,10

35,2/15/2013,3/23/2013,36

36,2/15/2013,1/17/2013,-29

37,2/15/2013,3/4/2013,17

38,2/15/2013,2/23/2013,8

39,2/15/2013,2/28/2013,13

40,2/15/2013,3/2/2013,15

41,2/15/2013,2/20/2013,5

42,2/15/2013,2/24/2013,9

43,2/15/2013,2/28/2013,13

44,2/15/2013,3/2/2013,15

45,2/15/2013,2/26/2013,11

46,2/15/2013,3/4/2013,17

47,2/15/2013,2/24/2013,9

48,2/15/2013,3/20/2013,33

49,2/15/2013,3/5/2013,18

50,2/15/2013,2/28/2013,13

51,2/15/2013,2/25/2013,10

52,2/15/2013,2/22/2013,7

53,2/15/2013,2/23/2013,8

54,2/15/2013,2/18/2013,3

55,2/15/2013,2/25/2013,10

56,2/15/2013,3/3/2013,16

57,2/15/2013,3/3/2013,16

58,2/15/2013,2/26/2013,11

59,2/15/2013,3/3/2013,16

60,2/15/2013,2/20/2013,5

61,2/15/2013,2/19/2013,4

62,2/15/2013,3/5/2013,18

63,2/15/2013,3/2/2013,15

64,2/15/2013,3/5/2013,18

65,2/15/2013,3/5/2013,18

66,2/15/2013,2/26/2013,11

67,2/15/2013,2/27/2013,12

68,2/15/2013,3/3/2013,16

69,2/15/2013,2/19/2013,4

70,2/15/2013,2/24/2013,9

71,2/15/2013,3/3/2013,16

72,2/15/2013,2/27/2013,12

73,2/15/2013,3/3/2013,16

74,2/15/2013,3/4/2013,17

75,2/15/2013,2/17/2013,2

76,2/15/2013,3/5/2013,18

77,2/15/2013,2/20/2013,5

78,2/15/2013,3/4/2013,17

79,2/15/2013,3/4/2013,17

80,2/15/2013,3/4/2013,17

81,2/15/2013,2/21/2013,6

82,2/15/2013,2/27/2013,12

83,2/15/2013,2/26/2013,11

84,2/15/2013,2/26/2013,11

85,2/15/2013,3/1/2013,14

86,2/15/2013,2/27/2013,12

87,2/15/2013,3/4/2013,17

88,2/15/2013,3/3/2013,16

89,2/15/2013,2/23/2013,8

90,2/15/2013,3/1/2013,14

91,2/15/2013,3/3/2013,16

92,2/15/2013,3/19/2013,32

93,2/15/2013,3/4/2013,17

94,2/15/2013,3/2/2013,15

95,2/15/2013,2/22/2013,7

96,2/15/2013,3/12/2013,25

97,2/15/2013,3/5/2013,18

98,2/15/2013,2/24/2013,9

99,2/15/2013,3/14/2013,27

100,2/15/2013,3/2/2013,15

101,2/15/2013,3/1/2013,14

102,2/15/2013,2/26/2013,11

103,2/15/2013,3/3/2013,16

104,2/15/2013,3/3/2013,16

105,2/15/2013,2/28/2013,13

106,2/15/2013,3/12/2013,25

107,2/15/2013,2/18/2013,3

108,2/15/2013,3/2/2013,15

109,2/15/2013,3/2/2013,15

110,2/15/2013,3/4/2013,17

