"ID","Average number of activites accessed before each test"
"1","77.0"
"2","35.0"
"3","98.0"
"4","96.0"
"5","77.0"
"6","116.0"
"7","0.0"
"8","107.0"
"9","80.0"
"10","0.0"
"11","84.0"
"12","114.0"
"13","121.0"
"14","95.0"
"15","99.0"
"16","92.0"
"17","74.0"
"18","77.0"
"19","139.0"
"20","67.0"
"21","67.0"
"22","113.0"
"23","51.0"
"24","74.0"
"25","94.0"
"26","83.0"
"27","98.0"
"28","99.0"
"29","135.0"
"30","81.0"
"31","117.0"
"32","53.0"
"33","101.0"
"34","72.0"
"35","92.0"
"36","101.0"
"37","95.0"
"38","77.0"
"39","147.0"
"40","62.0"
"41","78.0"
"42","72.0"
"43","91.0"
"44","86.0"
"45","72.0"
"46","61.0"
"47","134.0"
"48","68.0"
"49","77.0"
"50","93.0"
"51","134.0"
"52","103.0"
"53","149.0"
"54","85.0"
"55","81.0"
"56","112.0"
"57","83.0"
"58","93.0"
"59","70.0"
"60","120.0"
"61","106.0"
"62","152.0"
"63","80.0"
"64","103.0"
"65","125.0"
"66","91.0"
"67","152.0"
"68","86.0"
"69","161.0"
"70","101.0"
"71","83.0"
"72","131.0"
"73","122.0"
"74","91.0"
"75","70.0"
"76","70.0"
"77","121.0"
"78","108.0"
"79","73.0"
"80","141.0"
"81","68.0"
"82","111.0"
"83","67.0"
"84","103.0"
"85","78.0"
"86","35.0"
"87","58.0"
"88","80.0"
"89","43.0"
"90","128.0"
"91","59.0"
"92","91.0"
"93","84.0"
"94","102.0"
"95","129.0"
"96","84.0"
"97","83.0"
"98","99.0"
"99","84.0"
"100","79.0"
"101","64.0"
"102","100.0"
"103","115.0"
"104","107.0"
"105","67.0"
"106","95.0"
"107","179.0"
"108","112.0"
"109","89.0"
"110","65.0"
