"ID","Unit Discussions paticipation"
"1","3"
"2","13"
"3","34"
"4","2"
"5","2"
"6","17"
"7","0"
"8","2"
"9","12"
"10","4"
"11","5"
"12","90"
"13","17"
"14","4"
"15","4"
"16","14"
"17","5"
"18","12"
"19","63"
"20","14"
"21","2"
"22","37"
"23","1"
"24","7"
"25","10"
"26","9"
"27","13"
"28","35"
"29","85"
"30","9"
"31","7"
"32","0"
"33","6"
"34","3"
"35","9"
"36","25"
"37","19"
"38","28"
"39","21"
"40","1"
"41","6"
"42","6"
"43","1"
"44","2"
"45","2"
"46","5"
"47","52"
"48","5"
"49","3"
"50","20"
"51","4"
"52","2"
"53","45"
"54","3"
"55","7"
"56","8"
"57","7"
"58","12"
"59","9"
"60","30"
"61","36"
"62","30"
"63","10"
"64","50"
"65","14"
"66","21"
"67","63"
"68","1"
"69","30"
"70","12"
"71","0"
"72","11"
"73","9"
"74","3"
"75","1"
"76","2"
"77","106"
"78","9"
"79","1"
"80","39"
"81","5"
"82","3"
"83","0"
"84","17"
"85","6"
"86","10"
"87","3"
"88","12"
"89","7"
"90","9"
"91","0"
"92","9"
"93","1"
"94","43"
"95","91"
"96","8"
"97","37"
"98","15"
"99","3"
"100","3"
"101","31"
"102","17"
"103","28"
"104","12"
"105","4"
"106","17"
"107","13"
"108","7"
"109","2"
"110","14"
