"ID","Fluency Drills paticipation"
"1","10"
"2","4"
"3","19"
"4","19"
"5","1"
"6","17"
"7","0"
"8","24"
"9","17"
"10","0"
"11","3"
"12","11"
"13","17"
"14","23"
"15","8"
"16","7"
"17","2"
"18","12"
"19","47"
"20","9"
"21","18"
"22","9"
"23","1"
"24","8"
"25","11"
"26","5"
"27","8"
"28","40"
"29","32"
"30","5"
"31","10"
"32","0"
"33","3"
"34","4"
"35","8"
"36","5"
"37","22"
"38","19"
"39","37"
"40","0"
"41","7"
"42","6"
"43","20"
"44","4"
"45","16"
"46","1"
"47","19"
"48","5"
"49","14"
"50","23"
"51","34"
"52","7"
"53","38"
"54","22"
"55","2"
"56","11"
"57","31"
"58","0"
"59","3"
"60","22"
"61","3"
"62","13"
"63","4"
"64","7"
"65","19"
"66","6"
"67","66"
"68","7"
"69","19"
"70","11"
"71","3"
"72","16"
"73","14"
"74","10"
"75","1"
"76","2"
"77","1"
"78","8"
"79","2"
"80","23"
"81","38"
"82","16"
"83","14"
"84","15"
"85","10"
"86","0"
"87","12"
"88","5"
"89","4"
"90","20"
"91","0"
"92","5"
"93","3"
"94","5"
"95","34"
"96","17"
"97","1"
"98","4"
"99","2"
"100","2"
"101","13"
"102","15"
"103","6"
"104","20"
"105","8"
"106","11"
"107","24"
"108","7"
"109","21"
"110","27"
