"ID","Game Shows paticipation"
"1","6"
"2","0"
"3","3"
"4","0"
"5","2"
"6","2"
"7","0"
"8","0"
"9","11"
"10","0"
"11","0"
"12","1"
"13","8"
"14","7"
"15","2"
"16","4"
"17","1"
"18","1"
"19","3"
"20","1"
"21","0"
"22","3"
"23","1"
"24","1"
"25","8"
"26","2"
"27","1"
"28","11"
"29","14"
"30","0"
"31","1"
"32","0"
"33","0"
"34","0"
"35","11"
"36","4"
"37","0"
"38","16"
"39","11"
"40","0"
"41","1"
"42","0"
"43","16"
"44","0"
"45","0"
"46","0"
"47","9"
"48","0"
"49","2"
"50","3"
"51","7"
"52","0"
"53","2"
"54","2"
"55","2"
"56","1"
"57","0"
"58","0"
"59","0"
"60","9"
"61","1"
"62","8"
"63","1"
"64","2"
"65","6"
"66","3"
"67","12"
"68","7"
"69","10"
"70","1"
"71","0"
"72","1"
"73","0"
"74","7"
"75","0"
"76","0"
"77","0"
"78","1"
"79","0"
"80","2"
"81","2"
"82","3"
"83","4"
"84","7"
"85","1"
"86","0"
"87","0"
"88","6"
"89","1"
"90","12"
"91","0"
"92","0"
"93","0"
"94","2"
"95","4"
"96","1"
"97","1"
"98","1"
"99","1"
"100","0"
"101","1"
"102","0"
"103","6"
"104","11"
"105","0"
"106","1"
"107","11"
"108","1"
"109","1"
"110","1"
