"ID","Crossword paticipation"
"1","3"
"2","1"
"3","3"
"4","0"
"5","2"
"6","1"
"7","0"
"8","1"
"9","9"
"10","0"
"11","0"
"12","2"
"13","3"
"14","2"
"15","3"
"16","7"
"17","2"
"18","0"
"19","4"
"20","1"
"21","2"
"22","3"
"23","1"
"24","3"
"25","8"
"26","1"
"27","2"
"28","12"
"29","14"
"30","0"
"31","2"
"32","0"
"33","3"
"34","0"
"35","13"
"36","2"
"37","1"
"38","1"
"39","4"
"40","0"
"41","2"
"42","0"
"43","14"
"44","1"
"45","0"
"46","0"
"47","9"
"48","1"
"49","1"
"50","7"
"51","6"
"52","2"
"53","2"
"54","2"
"55","2"
"56","1"
"57","1"
"58","0"
"59","1"
"60","2"
"61","1"
"62","5"
"63","2"
"64","1"
"65","1"
"66","1"
"67","11"
"68","0"
"69","5"
"70","1"
"71","0"
"72","2"
"73","0"
"74","1"
"75","1"
"76","0"
"77","2"
"78","2"
"79","0"
"80","2"
"81","1"
"82","5"
"83","2"
"84","6"
"85","1"
"86","2"
"87","1"
"88","2"
"89","0"
"90","12"
"91","0"
"92","2"
"93","0"
"94","4"
"95","9"
"96","2"
"97","1"
"98","3"
"99","1"
"100","1"
"101","1"
"102","1"
"103","9"
"104","7"
"105","0"
"106","0"
"107","12"
"108","2"
"109","4"
"110","1"
