ID,ASR1,ASR2a,ASR2b,ASR2c,ASR3,ASR4,ASR5,ASR6,ASR7a,ASR7b
1,4,4,4,13,10,16,8,9,8,8
2,21,11,,,,,,,,
3,2,3,4,11,5,12,5,3,6,6
4,6,6,6,17,8,18,8,8,1,8
5,5,3,8,14,9,16,9,9,8,9
6,5,-1,9,16,9,9,4,9,9,9
7,0,2,5,12,8,11,6,3,5,5
8,12,9,10,16,10,17,10,11,10,10
9,13,4,11,16,11,18,11,10,8,10
10,8,4,6,13,6,2,6,7,7,7
11,5,6,6,16,8,8,13,13,11,11
12,5,4,4,8,4,9,1,2,2,2
13,14,10,10,18,12,18,11,10,8,8
14,6,7,8,15,10,16,10,9,10,10
15,4,10,10,14,8,16,9,9,9,9
16,8,5,5,12,5,8,4,4,7,7
17,9,3,4,13,6,5,6,7,6,6
18,5,2,2,9,2,9,2,0,2,2
19,11,7,11,18,11,18,11,11,10,11
20,6,5,3,11,3,4,7,7,4,4
21,4,2,2,8,3,15,1,1,2,2
22,8,2,5,12,5,3,4,5,3,5
23,11,4,,,,,,,,
24,9,2,5,9,7,15,9,5,10,10
25,5,10,10,16,11,7,11,10,10,10
26,5,9,9,12,5,5,5,5,5,5
27,14,11,11,18,11,18,11,11,11,11
28,12,6,9,16,9,9,9,10,10,10
29,13,10,10,17,11,10,11,11,9,9
30,3,5,5,11,5,16,9,10,8,9
31,5,6,8,16,10,16,10,9,8,10
32,9,4,9,18,9,18,10,6,2,6
33,4,5,5,13,7,15,10,9,7,7
34,5,3,3,8,3,10,1,1,4,4
35,14,17,18,25,28,36,22,17,10,11
36,6,2,2,9,-22,-29,2,1,1,1
37,8,11,11,11,10,17,11,11,11,11
38,6,7,7,15,7,8,5,6,6,6
39,7,2,2,12,4,13,10,8,8,9
40,6,2,2,12,5,15,8,8,8,8
41,0,3,5,14,10,5,10,8,10,10
42,5,2,2,9,4,9,3,2,3,3
43,9,6,6,14,8,13,7,8,5,9
44,11,8,8,15,8,15,8,8,8,8
45,2,9,10,17,11,11,8,11,8,11
46,8,5,5,15,9,17,6,7,10,10
47,7,9,9,16,10,9,10,10,11,11
48,9,10,11,18,37,33,24,18,11,11
49,14,8,18,18,11,18,11,11,9,11
50,9,6,6,12,6,13,6,5,5,6
51,8,5,5,6,3,10,9,9,5,9
52,9,6,6,13,8,7,9,8,4,4
53,2,4,4,8,2,8,5,2,4,4
54,8,10,10,12,4,3,4,3,4,4
55,12,11,11,16,11,10,9,10,11,11
56,12,8,8,16,9,16,7,5,11,11
57,5,-1,6,13,8,16,8,9,5,8
58,8,9,9,9,11,11,10,11,11,11
59,13,10,10,17,10,16,4,9,9,9
60,3,4,9,14,9,5,7,7,5,5
61,8,2,4,4,5,4,5,5,3,4
62,4,6,6,6,6,18,11,9,8,8
63,2,6,10,15,11,15,8,10,9,9
64,14,9,9,18,11,18,11,11,11,11
65,6,11,11,18,11,18,11,11,10,10
66,2,4,4,12,4,11,5,5,5,5
67,8,2,5,11,4,12,6,6,6,6
68,8,4,8,14,8,16,9,4,5,8
69,13,8,10,16,10,4,10,10,9,9
70,11,7,7,14,7,9,9,7,6,7
71,13,5,9,12,9,16,9,9,9,9
72,3,4,4,8,2,12,4,10,4,4
73,9,5,5,16,8,16,10,9,9,9
74,5,4,9,16,8,17,10,11,11,11
75,3,2,2,9,2,2,3,1,2,2
76,11,7,9,18,11,18,11,11,8,5
77,8,7,7,14,8,5,7,6,6,6
78,6,10,10,17,10,17,11,11,11,11
79,2,9,9,16,8,17,9,9,8,8
80,12,5,8,13,10,17,11,6,9,9
81,9,6,6,13,6,6,3,6,6,6
82,7,6,5,14,9,12,11,11,11,11
83,16,13,13,19,15,11,11,11,11,11
84,6,2,3,9,1,11,3,1,5,5
85,7,4,6,12,5,14,9,5,8,8
86,7,4,5,11,3,12,5,4,1,2
87,6,10,10,17,10,17,11,11,11,11
88,12,4,8,15,9,16,10,8,8,8
89,6,5,5,10,5,8,5,4,5,5
90,9,9,9,15,8,14,10,9,6,6
91,12,8,8,16,8,16,9,9,9,9
92,12,7,11,22,26,32,24,9,11,11
93,13,9,9,17,11,17,11,11,11,11
94,7,4,7,8,9,15,8,10,8,8
95,9,4,5,6,7,7,5,5,5,5
96,20,13,13,13,18,25,,,,
97,3,10,11,18,32,18,11,9,10,10
98,11,2,8,14,9,9,9,7,8,8
99,12,10,14,18,21,27,14,13,11,11
100,11,5,8,13,8,15,5,5,9,9
101,3,4,4,15,8,14,8,5,6,7
102,8,4,5,12,5,11,5,5,5,5
103,6,5,6,12,10,16,9,5,4,4
104,7,5,8,14,10,16,11,8,8,8
105,1,8,8,12,6,13,7,5,4,9
106,4,10,10,24,17,25,17,,,
107,8,7,7,15,9,3,10,8,9,11
108,8,4,5,13,5,15,5,9,6,6
109,9,5,10,13,11,15,5,11,7,11
110,14,5,11,18,10,17,5,8,11,11
