ID, Num_of_activities of Study Guide Materials, G1, G2, G3, G4, G5, G6, G7
1,16,1,6,1,4,4,0,0
2,8,5,2,1,0,0,0,0
3,54,1,18,13,12,7,3,0
4,4,3,0,0,0,1,0,0
5,64,9,22,11,17,5,0,0
6,83,5,40,16,15,7,0,0
7,71,9,21,8,24,9,0,0
8,41,1,18,5,15,2,0,0
9,67,2,23,11,28,3,0,0
10,126,11,55,16,29,12,3,0
11,61,11,20,10,16,4,0,0
12,36,1,13,5,13,4,0,0
13,56,4,24,8,17,3,0,0
14,17,2,12,1,1,1,0,0
15,33,1,14,7,10,1,0,0
16,56,1,20,7,20,8,0,0
17,61,1,23,13,14,10,0,0
18,68,5,17,13,17,8,8,0
19,51,2,28,10,11,0,0,0
20,45,4,16,8,13,4,0,0
21,39,1,14,8,7,3,6,0
22,94,2,41,13,28,10,0,0
23,18,9,9,0,0,0,0,0
24,15,2,9,2,1,1,0,0
25,28,4,11,4,7,2,0,0
26,85,5,32,14,23,8,3,0
27,2,2,0,0,0,0,0,0
28,41,1,15,10,14,1,0,0
29,38,7,22,3,6,0,0,0
30,35,3,10,7,12,3,0,0
31,67,9,30,11,14,3,0,0
32,14,3,4,1,6,0,0,0
33,30,5,11,6,4,4,0,0
34,11,5,2,2,2,0,0,0
35,22,6,11,4,1,0,0,0
36,43,3,20,4,9,5,2,0
37,10,1,4,0,5,0,0,0
38,67,2,17,11,29,8,0,0
39,47,3,17,9,13,5,0,0
40,37,3,13,5,13,3,0,0
41,75,10,30,10,21,4,0,0
42,47,2,15,5,20,5,0,0
43,17,1,8,5,2,1,0,0
44,82,2,33,16,20,10,1,0
45,72,3,34,8,19,8,0,0
46,35,2,9,8,11,5,0,0
47,42,3,18,7,13,1,0,0
48,30,7,18,5,0,0,0,0
49,45,2,17,8,17,1,0,0
50,50,2,17,8,12,10,1,0
51,31,5,7,3,10,6,0,0
52,27,3,9,4,6,5,0,0
53,86,6,31,9,23,13,4,0
54,28,3,13,4,6,2,0,0
55,27,5,7,5,7,3,0,0
56,44,1,15,8,11,9,0,0
57,18,2,4,3,8,1,0,0
58,89,15,32,6,33,3,0,0
59,69,4,23,11,15,10,6,0
60,71,9,23,12,16,11,0,0
61,50,1,13,18,15,2,1,0
62,52,11,16,19,0,6,0,0
63,66,3,20,15,18,10,0,0
64,46,2,23,9,11,1,0,0
65,43,3,17,7,16,0,0,0
66,12,4,3,1,1,3,0,0
67,64,1,22,5,28,8,0,0
68,88,0,33,13,32,10,0,0
69,69,1,28,12,26,2,0,0
70,103,10,30,18,32,13,0,0
71,43,2,17,6,17,1,0,0
72,46,5,10,8,16,7,0,0
73,76,9,30,13,18,6,0,0
74,38,1,14,8,13,2,0,0
75,55,4,19,3,10,12,7,0
76,52,4,18,9,17,4,0,0
77,67,10,21,9,18,9,0,0
78,60,4,29,10,15,2,0,0
79,64,8,14,16,19,7,0,0
80,45,5,19,6,10,5,0,0
81,96,9,27,24,20,16,0,0
82,95,3,36,28,28,0,0,0
83,56,4,23,11,18,0,0,0
84,42,2,15,4,13,5,3,0
85,39,1,17,7,11,3,0,0
86,88,4,21,20,25,15,3,0
87,60,4,29,10,15,2,0,0
88,58,1,20,10,18,9,0,0
89,45,10,17,8,8,2,0,0
90,73,2,33,10,21,7,0,0
91,18,1,5,2,9,1,0,0
92,57,4,32,16,4,1,0,0
93,17,5,3,4,3,2,0,0
94,68,4,24,6,20,14,0,0
95,48,2,16,8,13,8,1,0
96,53,0,23,14,16,0,0,0
97,5,4,0,0,1,0,0,0
98,31,4,11,2,9,5,0,0
99,40,4,22,10,4,0,0,0
100,17,5,4,1,6,1,0,0
101,96,7,33,17,29,10,0,0
102,37,2,10,5,14,6,0,0
103,58,3,23,6,21,5,0,0
104,76,2,31,12,20,9,2,0
105,52,2,20,10,11,8,1,0
106,61,13,31,8,9,0,0,0
107,47,3,20,7,13,4,0,0
108,58,2,22,12,15,7,0,0
109,74,7,21,11,24,11,0,0
110,66,4,20,6,24,12,0,0
