ID, Number of Studying Supplemental Material Activities
1,16
2,5
3,3
4,26
5,27
6,18
7,28
8,10
9,18
10,67
11,26
12,21
13,1
14,33
15,67
16,27
17,27
18,13
19,13
20,3
21,13
22,72
23,10
24,16
25,23
26,21
27,2
28,25
29,49
30,10
31,18
32,85
33,70
34,69
35,3
36,32
37,1
38,18
39,1
40,42
41,16
42,57
43,42
44,71
45,1
46,3
47,8
48,6
49,33
50,3
51,26
52,1
53,41
54,6
55,21
56,7
57,43
58,49
59,4
60,64
61,15
62,4
63,14
64,30
65,5
66,23
67,54
68,41
69,6
70,43
71,17
72,15
73,54
74,33
75,171
76,15
77,64
78,39
79,21
80,2
81,46
82,15
83,33
84,4
85,1
86,29
87,39
88,5
89,86
90,35
91,29
92,24
93,17
94,29
95,4
96,2
97,14
98,16
99,6
100,25
101,34
102,0
103,5
104,2
105,25
106,77
107,18
108,2
109,20
110,9
