ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
1,26,9,8,1,6,1,0,0,0,0,4,4,4,13,10,0,0,0,0,0
2,8,5,8,5,2,1,0,0,0,0,21,11,0,0,0,0,0,0,0,0
3,20,3,42,1,18,13,10,0,0,0,2,3,4,11,5,0,0,0,0,0
4,16,9,3,3,0,0,0,0,0,0,6,6,6,17,8,0,0,0,0,0
5,24,20,51,9,22,11,9,0,0,0,5,3,8,14,9,0,0,0,0,0
6,20,16,71,5,40,16,10,0,0,0,5,-1,9,16,9,9,0,0,0,0
7,20,14,59,9,21,8,21,0,0,0,0,2,5,12,8,0,0,0,0,0
8,17,2,27,1,18,5,3,0,0,0,12,9,10,16,10,0,0,0,0,0
9,23,9,53,2,23,11,17,0,0,0,13,4,11,16,11,0,0,0,0,0
10,41,49,91,11,54,15,11,0,0,0,8,4,6,13,6,2,0,0,0,0
11,19,9,48,11,20,10,7,0,0,0,5,6,6,16,8,8,0,0,0,0
12,31,11,32,1,13,5,13,0,0,0,5,4,4,8,4,9,0,0,0,0
13,16,0,41,4,24,8,5,0,0,0,14,10,10,18,12,0,0,0,0,0
14,21,15,16,2,12,1,1,0,0,0,6,7,8,15,10,0,0,0,0,0
15,19,37,26,1,14,7,4,0,0,0,4,10,10,14,8,0,0,0,0,0
16,33,14,40,1,20,7,12,0,0,0,8,5,5,12,5,8,0,0,0,0
17,24,13,46,1,23,13,9,0,0,0,9,3,4,13,6,5,0,0,0,0
18,26,12,52,5,17,13,17,0,0,0,5,2,2,9,2,9,0,0,0,0
19,18,11,42,2,28,10,2,0,0,0,11,7,11,18,11,0,0,0,0,0
20,17,2,35,4,16,8,7,0,0,0,6,5,3,11,3,4,0,0,0,0
21,18,5,28,1,14,8,5,0,0,0,4,2,2,8,3,0,0,0,0,0
22,33,25,73,2,41,13,17,0,0,0,8,2,5,12,5,3,0,0,0,0
23,17,10,18,9,9,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0
24,19,10,14,2,9,2,1,0,0,0,9,2,5,9,7,0,0,0,0,0
25,19,5,22,4,11,4,3,0,0,0,5,10,10,16,11,7,0,0,0,0
26,22,18,66,5,32,13,16,0,0,0,5,9,9,12,5,5,0,0,0,0
27,19,2,2,2,0,0,0,0,0,0,14,11,11,18,11,0,0,0,0,0
28,15,16,35,1,15,10,9,0,0,0,12,6,9,16,9,9,0,0,0,0
29,24,34,33,7,22,3,1,0,0,0,13,10,10,17,11,0,0,0,0,0
30,24,7,24,3,10,7,4,0,0,0,3,5,5,11,5,0,0,0,0,0
31,25,18,57,9,30,11,7,0,0,0,5,6,8,16,10,0,0,0,0,0
32,27,36,9,3,4,1,1,0,0,0,9,4,9,18,9,0,0,0,0,0
33,39,45,24,5,11,6,2,0,0,0,4,5,5,13,7,0,0,0,0,0
34,24,35,9,5,2,1,1,0,0,0,5,3,3,8,3,0,0,0,0,0
35,14,3,17,6,11,0,0,0,0,0,14,17,18,25,0,0,0,0,0,0
36,22,21,35,2,20,4,9,0,0,0,6,2,2,9,-22,-29,0,0,0,0
37,18,1,7,1,4,0,2,0,0,0,8,11,11,11,10,0,0,0,0,0
38,25,18,51,2,17,11,21,0,0,0,6,7,7,15,7,8,0,0,0,0
39,17,0,39,3,17,9,10,0,0,0,7,2,2,12,4,0,0,0,0,0
40,21,26,25,3,13,5,4,0,0,0,6,2,2,12,5,0,0,0,0,0
41,23,14,61,10,30,10,11,0,0,0,0,3,5,14,10,5,0,0,0,0
42,23,30,34,2,15,5,12,0,0,0,5,2,2,9,4,9,0,0,0,0
43,17,21,16,1,8,5,2,0,0,0,9,6,6,14,8,0,0,0,0,0
44,38,47,60,2,33,16,9,0,0,0,11,8,8,15,8,0,0,0,0,0
45,18,0,49,3,34,8,4,0,0,0,2,9,10,17,11,0,0,0,0,0
46,16,3,23,2,9,8,4,0,0,0,8,5,5,15,9,0,0,0,0,0
47,19,6,32,3,18,7,4,0,0,0,7,9,9,16,10,9,0,0,0,0
48,13,1,25,7,18,0,0,0,0,0,9,10,11,18,0,0,0,0,0,0
49,17,15,35,2,17,8,8,0,0,0,14,8,18,18,11,0,0,0,0,0
50,17,2,34,2,17,8,7,0,0,0,9,6,6,12,6,0,0,0,0,0
51,20,4,22,5,7,3,7,0,0,0,8,5,5,6,3,0,0,0,0,0
52,20,1,18,3,9,4,2,0,0,0,9,6,6,13,8,7,0,0,0,0
53,21,17,69,6,31,9,23,0,0,0,2,4,4,8,2,8,0,0,0,0
54,19,6,24,3,13,4,4,0,0,0,8,10,10,12,4,3,0,0,0,0
55,16,10,21,5,7,5,4,0,0,0,12,11,11,16,11,0,0,0,0,0
56,15,6,28,1,15,8,4,0,0,0,12,8,8,16,9,0,0,0,0,0
57,30,24,17,2,4,3,8,0,0,0,5,-1,6,13,8,0,0,0,0,0
58,25,17,56,11,31,6,8,0,0,0,8,9,9,9,11,0,0,0,0,0
59,26,4,49,4,23,11,11,0,0,0,13,10,10,17,10,0,0,0,0,0
60,36,19,49,9,23,12,5,0,0,0,3,4,9,14,9,5,0,0,0,0
61,22,8,45,1,13,18,13,0,0,0,8,2,4,4,5,4,0,0,0,0
62,19,2,46,11,16,19,0,0,0,0,4,6,6,6,6,0,0,0,0,0
63,19,4,44,3,18,14,9,0,0,0,2,6,10,15,11,0,0,0,0,0
64,27,9,35,2,23,9,1,0,0,0,14,9,9,18,11,0,0,0,0,0
65,17,5,31,3,17,7,4,0,0,0,6,11,11,18,11,0,0,0,0,0
66,16,12,9,4,3,1,1,0,0,0,2,4,4,12,4,0,0,0,0,0
67,22,22,30,1,22,5,2,0,0,0,8,2,5,11,4,0,0,0,0,0
68,22,19,64,0,33,13,18,0,0,0,8,4,8,14,8,0,0,0,0,0
69,26,4,52,1,28,12,11,0,0,0,13,8,10,16,10,4,0,0,0,0
70,32,35,75,10,30,18,17,0,0,0,11,7,7,14,7,9,0,0,0,0
71,19,15,33,2,17,6,8,0,0,0,13,5,9,12,9,0,0,0,0,0
72,26,12,31,5,10,8,8,0,0,0,3,4,4,8,2,0,0,0,0,0
73,25,43,61,9,30,13,9,0,0,0,9,5,5,16,8,0,0,0,0,0
74,21,23,28,1,14,8,5,0,0,0,5,4,9,16,8,0,0,0,0,0
75,48,84,36,4,19,3,10,0,0,0,3,2,2,9,2,2,0,0,0,0
76,20,4,34,4,18,9,3,0,0,0,11,7,9,18,11,0,0,0,0,0
77,24,42,48,10,21,9,8,0,0,0,8,7,7,14,8,5,0,0,0,0
78,20,23,45,4,29,10,2,0,0,0,6,10,10,17,10,0,0,0,0,0
79,25,14,49,8,14,16,11,0,0,0,2,9,9,16,8,0,0,0,0,0
80,18,2,34,5,19,6,4,0,0,0,12,5,8,13,10,0,0,0,0,0
81,15,28,78,9,27,24,18,0,0,0,9,6,6,13,6,6,0,0,0,0
82,25,8,72,3,36,28,5,0,0,0,7,6,5,14,9,0,0,0,0,0
83,22,7,39,4,23,11,1,0,0,0,16,13,13,19,15,0,0,0,0,0
