"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"1","4","14.142857551574707","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"2","6","9.142857551574707","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"3","1","11.714285850524902","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"4","3","14.142857551574707","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"5","2","23.428571701049805","133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"6","1","18.285715103149414","194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"7","2","21.14285659790039","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"8","6","4.857142925262451","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"9","1","15.142857551574707","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"11","0","22.85714340209961","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"12","0","20.85714340209961","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"13","2","16.14285659790039","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","1","18.0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"15","3","12.571428298950195","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"16","3","16.285715103149414","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"17","3","11.0","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"18","4","11.285714149475098","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"19","2","26.714284896850586","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"20","2","15.714285850524902","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"21","3","18.571428298950195","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"22","1","14.714285850524902","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"23","2","14.0","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"24","5","10.285714149475098","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"25","0","30.14285659790039","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"26","4","8.142857551574707","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"27","0","22.14285659790039","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"28","3","7.5714287757873535","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"29","2","19.285715103149414","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"30","1","21.14285659790039","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"31","1","24.714284896850586","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"32","0","18.571428298950195","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"33","5","13.714285850524902","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"34","1","17.285715103149414","175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"35","5","12.857142448425293","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"36","4","12.714285850524902","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"37","6","3.7142856121063232","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"38","5","9.571428298950195","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"39","5","13.0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"40","3","9.571428298950195","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"41","1","22.0","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"42","6","3.5714285373687744","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"43","4","8.142857551574707","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"44","3","15.857142448425293","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"45","7","0.0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"46","4","10.571428298950195","148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
