"ID","num_logins","days_no_activities","act_per_day","num_online_meetings","due_1A","due_1B","due_2_1A","due_2_1B","due_2_2A","due_2_2B","due_3A","due_3B","due_4A","due_4B","due_5A","due_5B","due_6A","due_6B","due_7A","due_7B","avg_due","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","avg_time_test"
"1","20","7","9.5","3","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","18.0","12.233333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.116666666666667"
"2","7","11","5.5","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","19","3","11.0","1","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","25.583333333333332","18.366666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.975"
"4","17","6","10.642857551574707","2","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","18.133333333333333","16.516666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.325"
"5","33","3","15.714285850524902","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","30.433333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.433333333333334"
"6","33","1","21.071428298950195","0","3","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.5","41.63333333333333","32.916666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.275"
"7","26","6","16.928571701049805","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","46.766666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.766666666666666"
"8","18","10","11.785714149475098","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","23","3","11.857142448425293","4","4","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","21.75","10.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.9"
"11","34","3","17.214284896850586","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","28.766666666666666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.766666666666666"
"12","22","2","18.0","2","4","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","28.05","18.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.15"
"13","23","4","13.285714149475098","3","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","23.166666666666668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.166666666666668"
