"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes"
"1","18","8.071428298950195","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","22.333333333333332","19.616666666666667","0","0","0","0","0","0","0","0","15.931249999999999"
"2","34","4.61904764175415","33","21.216666666666665","16.1","30.2","34.416666666666664","14.6","1.25","100.43333333333334","0","0","0","0","0","0","0","0","0","31.173809523809524"
"3","18","7.4285712242126465","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","23.7","0","24.05","17.133333333333333","0","0","0","0","0","0","0","0","23.595238095238095"
"4","20","7.38095235824585","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","31.5","31.616666666666667","0","0","0","0","0","0","0","0","23.666666666666668"
"5","9","11.833333015441895","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","54.78333333333333","84.36666666666666","97.38333333333334","0","0","0","0","0","0","0","0","60.47083333333333"
"6","3","16.809524536132812","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","33.31666666666667","0","0","0","0","0","0","0","0","0","32.19761904761905"
"7","20","10.476190567016602","130","9.0","0","16.216666666666665","0","19.1","0","42.016666666666666","20.75","0","0","0","0","0","0","0","0","21.416666666666664"
"8","23","8.285714149475098","86","0","11.316666666666666","0","1403.1833333333334","16.833333333333332","0","0","0","0","0","0","0","0","0","0","0","477.1111111111111"
"9","12","8.5","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","36.2","0","0","0","0","0","0","0","0","0","20.566666666666666"
"11","9","12.976190567016602","135","27.75","18.816666666666666","53.68333333333333","0","49.516666666666666","61.86666666666667","85.05","66.25","0","0","0","0","0","0","0","0","51.84761904761905"
"12","12","11.714285850524902","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","33.333333333333336","23.9","0","0","0","0","0","0","0","0","21.8"
"13","17","10.0","113","16.183333333333334","0","20.4","18.683333333333334","25.333333333333332","16.05","28.5","0","0","0","0","0","0","0","0","0","20.85833333333333"
"14","21","7.452381134033203","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","41.083333333333336","0","0","0","0","0","0","0","0","0","374.15000000000003"
"15","24","6.976190567016602","65","19.816666666666666","9.1","23.4","0","0","14.4","16.533333333333335","0","0","0","0","0","0","0","0","0","16.65"
"16","10","13.880952835083008","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","22.066666666666666","23.75","0","0","0","0","0","0","0","0","18.829166666666666"
"17","22","6.690476417541504","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","23.716666666666665","20.216666666666665","0","0","0","0","0","0","0","0","13.783333333333335"
