"ID","Time between Final practice and Final"
"1","555"
"2","1362"
"3","1304"
"4","1223"
"5","107"
"6","1396"
"7","412"
"8","51"
"9","0"
"10","617"
"11","612"
"12","0"
"13","642"
"14","1171"
"15","405"
"16","24"
"17","173"
"18","764"
"19","1134"
"20","8"
"21","0"
"22","768"
"23","128"
"24","1200"
"25","1040"
"26","0"
"27","185"
"28","943"
"29","1432"
"30","0"
"31","973"
"32","1180"
"33","322"
"34","59"
"35","0"
"36","1061"
"37","1429"
"38","1020"
"39","125"
"40","1036"
"41","992"
"42","875"
"43","502"
"44","1308"
"45","0"
"46","156"
"47","141"
"48","765"
"49","0"
"50","526"
"51","1042"
"52","1355"
"53","0"
"54","0"
"55","15"
"56","1005"
"57","894"
"58","1331"
"59","206"
"60","723"
"61","1287"
"62","1303"
"63","0"
"64","867"
"65","0"
"66","1180"
"67","1288"
"68","1317"
"69","1336"
"70","1420"
"71","1295"
"72","0"
"73","850"
"74","1041"
"75","1045"
"76","0"
"77","0"
"78","1411"
"79","605"
"80","1276"
"81","1093"
"82","0"
"83","1252"
"84","0"
"85","1327"
"86","473"
"87","1326"
"88","465"
"89","0"
"90","194"
"91","1407"
"92","784"
"93","1266"
"94","0"
"95","1075"
"96","736"
"97","206"
"98","315"
"99","0"
"100","1244"
"101","574"
"102","0"
"103","1144"
"104","449"
"105","1353"
"106","1192"
"107","0"
"108","1418"
"109","1347"
"110","1306"
