"ID","Final A Time"
"1","98"
"2","74"
"3","0"
"4","82"
"5","0"
"6","141"
"7","69"
"8","116"
"9","0"
"10","144"
"11","92"
"12","0"
"13","96"
"14","85"
"15","90"
"16","70"
"17","67"
"18","113"
"19","81"
"20","98"
"21","0"
"22","91"
"23","75"
"24","123"
"25","0"
"26","0"
"27","81"
"28","123"
"29","162"
"30","0"
"31","87"
"32","64"
"33","97"
"34","110"
"35","0"
"36","66"
"37","66"
"38","115"
"39","66"
"40","63"
"41","99"
"42","0"
"43","56"
"44","98"
"45","0"
"46","121"
"47","53"
"48","72"
"49","0"
"50","58"
"51","109"
"52","103"
"53","0"
"54","0"
"55","97"
"56","160"
"57","100"
"58","81"
"59","83"
"60","91"
"61","146"
"62","81"
"63","0"
"64","76"
"65","0"
"66","120"
"67","93"
"68","53"
"69","73"
"70","80"
"71","94"
"72","0"
"73","0"
"74","142"
"75","44"
"76","0"
"77","89"
"78","59"
"79","111"
"80","56"
"81","79"
"82","0"
"83","77"
"84","0"
"85","128"
"86","57"
"87","70"
"88","78"
"89","0"
"90","132"
"91","159"
"92","147"
"93","59"
"94","0"
"95","166"
"96","144"
"97","46"
"98","108"
"99","0"
"100","61"
"101","0"
"102","0"
"103","166"
"104","96"
"105","127"
"106","61"
"107","0"
"108","0"
"109","165"
"110","79"
