"ID","Final PracticeTime"
"1","1"
"2","0"
"3","1"
"4","0"
"5","2"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","1"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","1"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","2"
"29","2"
"30","0"
"31","1"
"32","0"
"33","0"
"34","1"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","1"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","2"
"52","1"
"53","0"
"54","0"
"55","1"
"56","0"
"57","0"
"58","0"
"59","1"
"60","0"
"61","1"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","1"
"75","0"
"76","0"
"77","0"
"78","0"
"79","0"
"80","0"
"81","1"
"82","0"
"83","0"
"84","0"
"85","0"
"86","4"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","2"
"93","0"
"94","0"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","1"
"101","0"
"102","1"
"103","0"
"104","0"
"105","0"
"106","0"
"107","0"
"108","0"
"109","2"
"110","0"
