"ID","Number of ASRs"
"1","8"
"2","8"
"3","8"
"4","8"
"5","8"
"6","10"
"7","8"
"8","6"
"9","8"
"10","8"
"11","10"
"12","8"
"13","10"
"14","10"
"15","9"
"16","8"
"17","8"
"18","8"
"19","8"
"20","8"
"21","8"
"22","8"
"23","9"
"24","8"
"25","5"
"26","10"
"27","8"
"28","8"
"29","8"
"30","9"
"31","10"
"32","8"
"33","8"
"34","8"
"35","8"
"36","5"
"37","8"
"38","8"
"39","10"
"40","10"
"41","10"
"42","8"
"43","8"
"44","9"
"45","8"
"46","8"
"47","10"
"48","8"
"49","8"
"50","8"
"51","8"
"52","8"
"53","8"
"54","8"
"55","8"
"56","10"
"57","8"
"58","8"
"59","9"
"60","8"
"61","8"
"62","8"
"63","8"
"64","8"
"65","8"
"66","8"
"67","8"
"68","10"
"69","8"
"70","8"
"71","8"
"72","6"
"73","8"
"74","8"
"75","8"
"76","6"
"77","8"
"78","8"
"79","8"
"80","8"
"81","10"
"82","8"
"83","9"
"84","7"
"85","8"
"86","8"
"87","8"
"88","8"
"89","9"
"90","8"
"91","8"
"92","8"
"93","8"
"94","8"
"95","9"
"96","7"
"97","10"
"98","8"
"99","1"
"100","10"
"101","8"
"102","8"
"103","8"
"104","7"
"105","8"
"106","8"
"107","0"
"108","8"
"109","8"
"110","8"
