"ID","Number of Test B"
"1","6"
"2","5"
"3","4"
"4","5"
"5","6"
"6","3"
"7","1"
"8","3"
"9","2"
"10","4"
"11","4"
"12","2"
"13","1"
"14","3"
"15","6"
"16","5"
"17","3"
"18","0"
"19","2"
"20","4"
"21","6"
"22","6"
"23","3"
"24","3"
"25","4"
"26","1"
"27","6"
"28","5"
"29","4"
"30","4"
"31","3"
"32","1"
"33","6"
"34","0"
"35","1"
"36","2"
"37","5"
"38","6"
"39","4"
"40","3"
"41","4"
"42","2"
"43","1"
"44","6"
"45","4"
"46","6"
"47","2"
"48","6"
"49","5"
"50","6"
"51","4"
"52","5"
"53","2"
"54","4"
"55","1"
"56","5"
"57","0"
"58","5"
"59","4"
"60","4"
"61","6"
"62","5"
"63","1"
"64","3"
"65","6"
"66","0"
"67","6"
"68","4"
"69","1"
"70","6"
"71","0"
"72","3"
"73","6"
"74","2"
"75","6"
"76","5"
"77","1"
"78","6"
"79","5"
"80","1"
"81","6"
"82","6"
"83","4"
"84","5"
"85","5"
"86","2"
"87","5"
"88","5"
"89","3"
"90","4"
"91","2"
"92","1"
"93","6"
"94","6"
"95","2"
"96","5"
"97","6"
"98","3"
"99","1"
"100","6"
"101","4"
"102","0"
"103","5"
"104","3"
"105","6"
"106","0"
"107","0"
"108","4"
"109","3"
"110","6"
