"ID","PreCourse Assesment Duration"
"1","53"
"2","51"
"3","50"
"4","39"
"5","55"
"6","40"
"7","110"
"8","45"
"9","22"
"10","38"
"11","47"
"12","37"
"13","40"
"14","27"
"15","31"
"16","34"
"17","41"
"18","32"
"19","272"
"20","31"
"21","28"
"22","37"
"23","33"
"24","51"
"25","44"
"26","55"
"27","39"
"28","33"
"29","41"
"30","41"
"31","29"
"32","52"
"33","55"
"34","55"
"35","24"
"36","55"
"37","54"
"38","55"
"39","41"
"40","38"
"41","42"
"42","390"
"43","32"
"44","28"
"45","51"
"46","51"
"47","38"
"48","55"
"49","33"
"50","38"
"51","48"
"52","51"
"53","39"
"54","55"
"55","44"
"56","45"
"57","53"
"58","52"
"59","34"
"60","56"
"61","50"
"62","30"
"63","55"
"64","55"
"65","0"
"66","47"
"67","25"
"68","33"
"69","22"
"70","36"
"71","38"
"72","23"
"73","31"
"74","52"
"75","23"
"76","28"
"77","3"
"78","28"
"79","45"
"80","30"
"81","33"
"82","51"
"83","34"
"84","41"
"85","47"
"86","32"
"87","1400"
"88","22"
"89","47"
"90","29"
"91","55"
"92","39"
"93","36"
"94","50"
"95","1269"
"96","57"
"97","46"
"98","39"
"99","26"
"100","52"
"101","55"
"102","55"
"103","47"
"104","0"
"105","45"
"106","41"
"107","30"
"108","13"
"109","52"
"110","35"
