"ID","MidTerm Survey Time","EndTerm Survey Time","Information Survey Time"
"1","0","0","4"
"2","0","0","4"
"3","7","0","3"
"4","0","0","7"
"5","0","0","11"
"6","0","0","6"
"7","0","0","67"
"8","0","0","4"
"9","0","0","5"
"10","17","0","4"
"11","0","0","4"
"12","0","0","4"
"13","0","0","3"
"14","0","0","4"
"15","4","0","7"
"16","0","0","3"
"17","0","0","3"
"18","0","0","5"
"19","0","0","8"
"20","0","0","4"
"21","0","0","2"
"22","0","0","7"
"23","7","0","3"
"24","0","0","5"
"25","0","0","4"
"26","26","0","6"
"27","0","0","8"
"28","17","0","10"
"29","0","0","7"
"30","0","0","4"
"31","0","0","6"
"32","0","0","4"
"33","5","0","9"
"34","0","0","5"
"35","0","0","4"
"36","0","0","3"
"37","0","0","6"
"38","0","0","7"
"39","0","0","4"
"40","0","0","4"
"41","2","0","2"
"42","0","0","10"
"43","0","0","0"
"44","8","0","4"
"45","14","0","4"
"46","12","0","9"
"47","7","0","7"
"48","0","0","4"
"49","0","0","5"
"50","0","0","7"
"51","10","0","7"
"52","13","0","7"
"53","2","0","9"
"54","30","0","8"
"55","0","0","6"
"56","0","0","5"
"57","0","0","4"
"58","0","0","6"
"59","0","0","4"
"60","5","0","6"
"61","0","0","7"
"62","7","0","4"
"63","0","0","14"
"64","6","0","4"
"65","0","0","11"
"66","0","0","8"
"67","0","0","4"
"68","0","0","3"
"69","0","0","3"
"70","0","0","5"
"71","0","0","3"
"72","0","0","4"
"73","0","0","4"
"74","0","0","8"
"75","0","0","3"
"76","0","0","5"
"77","0","0","3"
"78","0","0","4"
"79","0","0","5"
"80","0","0","3"
"81","0","0","4"
"82","7","0","8"
"83","4","0","4"
"84","0","0","8"
"85","0","0","4"
"86","6","0","4"
"87","0","0","6"
"88","0","0","4"
"89","0","0","3"
"90","0","0","4"
"91","0","0","6"
"92","0","0","5"
"93","0","0","4"
"94","0","0","6"
"95","20","0","7"
"96","0","0","18"
"97","0","0","4"
"98","0","0","4"
"99","0","0","4"
"100","0","0","5"
"101","0","0","4"
"102","0","0","6"
"103","2","0","7"
"104","0","0","2"
"105","0","0","5"
"106","0","0","5"
"107","0","0","7"
"108","0","0","6"
"109","0","0","10"
"110","6","0","5"
