ID, Number of days with 0 activity, Average Activity Per Session, Total number of logins 

1,47,20.7142857143,21

2,80,22.0,9

3,33,14.1818181818,22

4,55,20.8260869565,23

5,30,15.5384615385,26

6,40,21.6944444444,36

7,32,17.4642857143,28

8,27,15.4166666667,24

9,47,20.0,26

10,13,23.5555555556,36

11,37,20.3333333333,27

12,49,19.9642857143,28

13,50,16.8695652174,23

14,53,24.85,20

15,47,20.7142857143,21

16,28,22.3571428571,28

17,29,19.4482758621,29

18,32,18.9230769231,26

19,41,17.9615384615,26

20,45,20.4230769231,26

21,51,16.2692307692,26

22,58,21.5416666667,24

23,32,28.1290322581,31

24,77,25.6666666667,12

25,49,16.2,25

26,51,20.3913043478,23

27,31,19.1333333333,30

28,73,20.6,15

29,47,19.4,30

30,50,21.2173913043,23

31,41,16.44,25

32,35,19.08,25

33,53,27.1111111111,27

34,33,26.3333333333,36

35,30,19.9,30

36,53,29.75,20

37,28,19.5357142857,28

38,58,13.8421052632,19

39,26,19.3846153846,26

40,43,16.9565217391,23

41,37,21.4642857143,28

42,44,19.3846153846,26

43,22,17.8928571429,28

44,48,19.64,25

45,29,25.4666666667,30

46,42,20.7307692308,26

47,53,15.25,20

48,47,18.4,25

49,46,18.8695652174,23

50,52,29.6785714286,28

51,34,16.84,25

52,44,17.4615384615,26

53,50,11.9523809524,21

54,33,23.3529411765,34

55,53,20.1363636364,22

56,56,21.5217391304,23

57,54,16.2608695652,23

58,47,18.8571428571,28

59,29,24.4117647059,34

60,29,18.5161290323,31

61,30,27.2727272727,33

62,39,17.96,25

63,39,18.36,25

64,28,19.0689655172,29

65,36,20.7083333333,24

66,32,19.3043478261,23

67,56,20.5238095238,21

68,32,20.0967741935,31

69,23,16.4838709677,31

70,27,16.9666666667,30

71,16,21.0,35

72,38,15.5454545455,22

73,37,18.7857142857,28

74,36,24.3571428571,28

75,38,15.0869565217,23

76,16,24.2857142857,35

77,31,17.2142857143,28

78,20,21.03125,32

79,0,nan,1

80,38,21.0384615385,26

81,48,19.2592592593,27

82,22,21.7058823529,34

83,31,22.0625,32

84,47,22.1851851852,27

85,51,15.25,16

86,42,14.1304347826,23

87,22,17.21875,32

88,45,23.76,25

89,33,13.5238095238,21

90,38,19.1379310345,29

91,22,21.0,34

92,32,22.8636363636,22

93,28,20.0689655172,29

94,46,17.48,25

95,33,18.5862068966,29

96,40,14.96,25

97,53,16.65,20

98,60,20.625,16

99,42,20.25,24

100,49,20.8636363636,22

101,60,24.1818181818,22

102,27,19.696969697,33

103,60,14.4761904762,21

104,42,18.1481481481,27

105,42,17.0740740741,27

106,33,17.6785714286,28

107,41,22.9,30

108,47,20.3846153846,26

109,31,13.4166666667,24

110,33,17.8518518519,27

111,37,16.5909090909,22

