"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"1","11","9.428571428571429","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","-","-","-","-","-","-","-","-","-","-","14.25"
"2","17","11.0","39","13.066666666666666","18.233333333333334","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15.65"
"3","4","12.857142857142858","126","29.133333333333333","16.933333333333334","28.483333333333334","27.416666666666668","15.616666666666667","14.3","-","-","-","-","-","-","-","-","-","-","21.980555555555558"
"4","16","9.5","124","39.35","29.533333333333335","105.81666666666666","66.83333333333333","-","-","-","-","-","-","-","-","-","-","-","-","60.383333333333326"
"5","17","9.107142857142858","88","24.9","-","24.05","-","-","-","-","-","-","-","-","-","-","-","-","-","24.475"
"6","5","12.535714285714286","142","55.56666666666667","31.483333333333334","52.083333333333336","72.15","42.35","-","-","-","-","-","-","-","-","-","-","-","50.726666666666674"
"7","0","0.0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NaN"
"8","7","13.357142857142858","121","43.9","39.833333333333336","47.7","28.266666666666666","24.533333333333335","30.95","-","-","-","-","-","-","-","-","-","-","35.86388888888889"
"9","16","9.0","57","19.116666666666667","-","18.483333333333334","-","14.133333333333333","-","-","-","-","-","-","-","-","-","-","-","17.244444444444444"
"10","20","6.928571428571429","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NaN"
"11","16","8.107142857142858","93","49.93333333333333","59.8","103.21666666666667","-","-","-","-","-","-","-","-","-","-","-","-","-","70.98333333333333"
