ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,20,7,9.5,3,4,15.11666667,8,3,1,18,2,2,3,2,1,1,Y
2,7,11,5.5,3,0,0,3,0,0,0,6,9,4,5,2,1,Y
3,19,3,11,1,2,21.975,10,0,2,26,3,3,0,21,2,1,N
4,17,6,10.64285755,2,4,17.325,7,1,3,21,4,2,0,1,0,0,N
5,33,3,15.71428585,0,1,30.43333333,7,9,14,0,2,2,0,1,0,1,Y
6,33,1,21.0714283,0,2.5,37.275,6,2,5,24,2,11,5,6,1,0,N
7,26,6,16.9285717,0,1,46.76666667,8,6,13,0,0,0,0,0,0,0,N
8,18,10,11.78571415,2,0,0,4,2,1,25,3,3,0,2,5,1,N
9,23,3,11.85714245,4,3,15.9,4,1,2,21,3,3,2,8,2,2,Y
11,34,3,17.2142849,0,1,28.76666667,10,16,14,0,0,2,0,2,0,0,Y
12,22,2,18,2,3,23.15,7,3,10,0,2,2,0,3,0,0,Y
13,23,4,13.28571415,3,2,23.16666667,11,5,8,34,2,3,2,29,3,2,Y
14,17,6,10.71428585,4,2,35.08333333,5,0,4,32,2,3,0,12,3,2,Y
15,15,5,10.35714245,1,4,15.08333333,7,1,3,18,2,2,2,0,2,1,Y
16,26,5,17,2,3,20.625,5,6,1,25,3,3,0,2,4,1,Y
17,21,5,11.9285717,1,4,280.3916667,15,5,5,24,2,4,2,7,1,2,Y
18,10,7,10.64285755,0,1.5,59.1,8,4,5,19,2,2,0,1,0,0,N
19,18,5,19.0714283,8,2,33.93333333,14,8,17,14,3,2,0,5,1,0,Y
20,17,7,10.9285717,5,1,52.35,7,5,3,26,2,2,6,12,2,2,N
21,10,9,11,0,1,20.63333333,9,1,5,18,2,2,0,8,3,1,N
22,22,3,13.35714245,3,4,24.91666667,10,0,6,15,3,2,3,0,2,2,Y
23,17,4,12.78571415,2,2,17.66666667,11,13,10,38,3,4,5,23,2,2,Y
