ID, Unit1 Materials Available Date, Student Submit ASR Date, Dates Different 

1,1/15/2013,1/19/2013,4

2,1/15/2013,2/5/2013,21

3,1/15/2013,1/17/2013,2

4,1/15/2013,1/21/2013,6

5,1/15/2013,1/20/2013,5

6,1/15/2013,1/20/2013,5

7,1/15/2013,1/15/2013,0

8,1/15/2013,1/27/2013,12

9,1/15/2013,1/28/2013,13

10,1/15/2013,1/23/2013,8

11,1/15/2013,1/20/2013,5

12,1/15/2013,1/20/2013,5

13,1/15/2013,1/29/2013,14

14,1/15/2013,1/21/2013,6

15,1/15/2013,1/19/2013,4

16,1/15/2013,1/23/2013,8

17,1/15/2013,1/24/2013,9

18,1/15/2013,1/20/2013,5

19,1/15/2013,1/26/2013,11

20,1/15/2013,1/21/2013,6

21,1/15/2013,1/19/2013,4

22,1/15/2013,1/23/2013,8

23,1/15/2013,1/26/2013,11

24,1/15/2013,1/24/2013,9

25,1/15/2013,1/20/2013,5

26,1/15/2013,1/20/2013,5

27,1/15/2013,1/29/2013,14

28,1/15/2013,1/27/2013,12

29,1/15/2013,1/28/2013,13

30,1/15/2013,1/18/2013,3

31,1/15/2013,1/20/2013,5

32,1/15/2013,1/24/2013,9

33,1/15/2013,1/19/2013,4

34,1/15/2013,1/20/2013,5

35,1/15/2013,1/29/2013,14

36,1/15/2013,1/21/2013,6

37,1/15/2013,1/23/2013,8

38,1/15/2013,1/21/2013,6

39,1/15/2013,1/22/2013,7

40,1/15/2013,1/21/2013,6

41,1/15/2013,1/15/2013,0

42,1/15/2013,1/20/2013,5

43,1/15/2013,1/24/2013,9

44,1/15/2013,1/26/2013,11

45,1/15/2013,1/17/2013,2

46,1/15/2013,1/23/2013,8

47,1/15/2013,1/22/2013,7

48,1/15/2013,1/24/2013,9

49,1/15/2013,1/29/2013,14

50,1/15/2013,1/24/2013,9

51,1/15/2013,1/23/2013,8

52,1/15/2013,1/24/2013,9

53,1/15/2013,1/17/2013,2

54,1/15/2013,1/23/2013,8

55,1/15/2013,1/27/2013,12

56,1/15/2013,1/27/2013,12

57,1/15/2013,1/20/2013,5

58,1/15/2013,1/23/2013,8

59,1/15/2013,1/28/2013,13

60,1/15/2013,1/18/2013,3

61,1/15/2013,1/23/2013,8

62,1/15/2013,1/19/2013,4

63,1/15/2013,1/17/2013,2

64,1/15/2013,1/29/2013,14

65,1/15/2013,1/21/2013,6

66,1/15/2013,1/17/2013,2

67,1/15/2013,1/23/2013,8

68,1/15/2013,1/23/2013,8

69,1/15/2013,1/28/2013,13

70,1/15/2013,1/26/2013,11

71,1/15/2013,1/28/2013,13

72,1/15/2013,1/18/2013,3

73,1/15/2013,1/24/2013,9

74,1/15/2013,1/20/2013,5

75,1/15/2013,1/18/2013,3

76,1/15/2013,1/26/2013,11

77,1/15/2013,1/23/2013,8

78,1/15/2013,1/21/2013,6

79,1/15/2013,1/17/2013,2

80,1/15/2013,1/27/2013,12

81,1/15/2013,1/24/2013,9

82,1/15/2013,1/22/2013,7

83,1/15/2013,1/31/2013,16

84,1/15/2013,1/21/2013,6

85,1/15/2013,1/22/2013,7

86,1/15/2013,1/22/2013,7

87,1/15/2013,1/21/2013,6

88,1/15/2013,1/27/2013,12

89,1/15/2013,1/21/2013,6

90,1/15/2013,1/24/2013,9

91,1/15/2013,1/27/2013,12

92,1/15/2013,1/27/2013,12

93,1/15/2013,1/28/2013,13

94,1/15/2013,1/22/2013,7

95,1/15/2013,1/24/2013,9

96,1/15/2013,2/4/2013,20

97,1/15/2013,1/18/2013,3

98,1/15/2013,1/26/2013,11

99,1/15/2013,1/27/2013,12

100,1/15/2013,1/26/2013,11

101,1/15/2013,1/18/2013,3

102,1/15/2013,1/23/2013,8

103,1/15/2013,1/21/2013,6

104,1/15/2013,1/22/2013,7

105,1/15/2013,1/16/2013,1

106,1/15/2013,1/19/2013,4

107,1/15/2013,1/23/2013,8

108,1/15/2013,1/23/2013,8

109,1/15/2013,1/24/2013,9

110,1/15/2013,1/29/2013,14

