"","X","num_submissions"
"1",1,9
"2",2,9
"3",3,9
"4",4,9
"5",5,9
"6",6,9
"7",7,9
"8",8,2
"9",9,9
"10",11,9
"11",12,9
"12",13,9
"13",14,9
"14",15,8
"15",16,9
"16",17,9
"17",18,9
"18",19,9
"19",20,9
"20",21,9
"21",22,9
"22",23,9
"23",24,9
"24",25,9
"25",26,2
"26",27,9
"27",28,9
"28",29,9
"29",30,9
"30",31,9
"31",32,9
"32",33,9
"33",34,9
"34",35,8
"35",36,9
"36",37,5
"37",38,7
"38",39,9
"39",40,9
"40",41,9
"41",42,9
"42",43,9
"43",44,9
"44",45,9
"45",46,9
"46",47,9
"47",48,9
"48",49,9
"49",50,9
"50",51,9
"51",52,9
"52",53,9
"53",54,9
"54",55,9
"55",56,9
"56",57,9
"57",58,9
"58",59,9
"59",60,9
"60",61,9
"61",62,9
"62",63,9
"63",64,9
"64",65,9
"65",66,4
"66",67,9
"67",68,9
"68",69,9
"69",70,9
"70",71,9
"71",72,9
"72",73,4
"73",74,9
"74",75,9
"75",76,9
"76",77,1
"77",78,8
"78",79,9
"79",80,9
"80",81,9
"81",82,9
"82",83,9
"83",84,9
"84",85,2
"85",86,9
"86",87,9
"87",88,9
"88",89,9
"89",90,8
"90",91,9
"91",92,9
"92",93,9
"93",94,9
"94",95,9
"95",96,9
"96",97,6
"97",98,9
"98",99,9
"99",100,2
"100",101,9
"101",102,9
"102",103,9
"103",104,8
"104",105,4
"105",106,9
"106",107,9
"107",108,1
"108",109,8
"109",110,9
"110",111,9
