"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes",Grade,Above Average
"1","46","6.329545497894287","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","22.333333333333332","19.616666666666667","19.616666666666667","22.116666666666667","14.05","17.05","6.333333333333333","7.45","21.45","19.166666666666668","15.917708333333334",1000.79,Y
"2","72","3.7386362552642822","33","21.216666666666665","16.1","30.2","34.416666666666664","14.6","1.25","100.43333333333334","0","28.816666666666666","1.35","21.633333333333333","24.333333333333332","10.333333333333334","0.9166666666666666","30.583333333333332","1.5166666666666666","21.106249999999996",957.03,Y
"3","42","7.181818008422852","91","25.033333333333335","18.066666666666666","30.55","26.633333333333333","23.7","0","24.05","17.133333333333333","31.416666666666668","0","19.366666666666667","32.233333333333334","9.7","0","16.316666666666666","17.083333333333332","18.20520833333333",900.63,N
"4","43","7.034090995788574","81","16.516666666666666","16.4","31.183333333333334","21.166666666666668","17.283333333333335","0","31.5","31.616666666666667","34.3","39.85","27.75","40.666666666666664","22.383333333333333","11.416666666666666","34.25","35.46666666666667","25.734375000000007",897.75,N
"5","27","9.875","133","26.8","19.05","62.766666666666666","76.25","62.36666666666667","54.78333333333333","84.36666666666666","97.38333333333334","74.05","58.71666666666667","34.166666666666664","57.8","52.483333333333334","18.266666666666666","70.76666666666667","53.45","56.46666666666666",922.97,Y
"6","15","15.943181991577148","194","40.35","32.733333333333334","39.63333333333333","26.15","31.383333333333333","21.816666666666666","33.31666666666667","0","27.9","0","21.533333333333335","0","15.883333333333333","0","29.6","46.11666666666667","22.901041666666668",909.7,N
"7","44","9.090909004211426","130","9.0","0","16.216666666666665","0","19.1","0","42.016666666666666","20.75","15.383333333333333","0","18.566666666666666","0","9.766666666666667","10.266666666666667","14.133333333333333","1417.2833333333333","99.53020833333333",907.63,N
"8","48","6.75","86","0","11.316666666666666","0","1403.1833333333334","16.833333333333332","0","0","1414.8166666666666","0","68.08333333333333","0","21.933333333333334","0","12.633333333333333","0","1424.3333333333333","273.3208333333333",912.36,N
"9","32","7.045454502105713","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","0","36.2","0","30.316666666666666","0","15.616666666666667","0","7.033333333333333","0","22.216666666666665","17.766666666666666","13.521875000000001",968.59,Y
"11","27","10.681818008422852","135","27.75","18.816666666666666","53.68333333333333","0","49.516666666666666","61.86666666666667","85.05","66.25","89.51666666666667","0","44.083333333333336","51.4","16.466666666666665","0","42.9","0","37.95625",974.05,Y
"12","40","8.034090995788574","84","24.516666666666666","15.383333333333333","22.45","0","21.25","11.766666666666667","33.333333333333336","23.9","27.8","0","17.65","19.766666666666666","18.066666666666666","0","20.916666666666668","0","16.05",1005.31,Y
"13","44","8.295454978942871","113","16.183333333333334","0","20.4","18.683333333333334","25.333333333333332","16.05","28.5","0","34.11666666666667","0","22.883333333333333","0","11.666666666666666","6.85","20.033333333333335","18.033333333333335","14.92083333333333",975.5,Y
"14","50","6.170454502105713","78","32.166666666666664","0","1396.9166666666667","0","26.433333333333334","0","41.083333333333336","0","25.566666666666666","30.316666666666666","19.233333333333334","0","12.533333333333333","10.05","64.6","1414.6","192.09375",990.02,Y
"15","57","6.6022725105285645","65","19.816666666666666","9.1","23.4","0","0","14.4","16.533333333333335","0","19.783333333333335","0","13.8","25.25","13.066666666666666","4.716666666666667","14.65","15.816666666666666","11.895833333333332",983.5,Y
"16","31","14.340909004211426","123","16.55","21.883333333333333","22.8","15.616666666666667","18.616666666666667","9.35","22.066666666666666","23.75","34.9","27.7","13.95","20.933333333333334","12.4","0","21.733333333333334","25.45","19.23125",1033.02,Y
"17","48","6.034090995788574","86","15.933333333333334","7.3","18.166666666666668","11.083333333333334","8.483333333333333","5.366666666666666","23.716666666666665","20.216666666666665","26.266666666666666","0","13.366666666666667","18.1","5.766666666666667","3.45","11.15","0","11.772916666666669",962.91,Y
"18","50","7.056818008422852","65","17.433333333333334","16.7","40.516666666666666","0","21.133333333333333","18.766666666666666","33.2","0","22.883333333333333","35.88333333333333","30.233333333333334","0","17.7","12.9","28.983333333333334","56.2","22.03333333333333",840.61,N
"19","30","10.284090995788574","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","34.18333333333333","0","52.46666666666667","0","24.116666666666667","0","17.516666666666666","0","28.033333333333335","0","14.982291666666667",995.77,Y
"20","46","7.738636493682861","75","24.3","13.716666666666667","28.3","0","19.15","0","39.833333333333336","0","42.93333333333333","12.55","21.466666666666665","0","11.166666666666666","0","1411.65","0","101.56666666666668",921.83,N
"21","49","8.602272987365723","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","36.666666666666664","18.75","26.45","1415.7666666666667","71.08333333333333","0","24.583333333333332","1416.5666666666666","9.05","13.033333333333333","22.416666666666668","39.28333333333333","200.31458333333333",872.18,N
"22","40","7.079545497894287","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","15.716666666666667","23.183333333333334","19.7","25.916666666666668","9.383333333333333","14.216666666666667","5.95","0","18.7","13.0","16.271874999999994",986.94,Y
"23","34","8.409090995788574","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","25.983333333333334","38.7","1410.7333333333333","37.666666666666664","21.1","28.6","5.766666666666667","6.633333333333334","31.25","25.45","196.82812499999997",974.75,Y
"24","52","10.045454978942871","65","17.95","13.5","29.466666666666665","29.016666666666666","23.966666666666665","0","28.0","52.75","19.616666666666667","0","18.633333333333333","0","9.933333333333334","7.716666666666667","23.25","0","17.1125",940.63,Y
"25","32","13.965909004211426","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","14.483333333333333","46.46666666666667","47.78333333333333","40.733333333333334","32.61666666666667","28.45","29.35","16.216666666666665","8.133333333333333","38.266666666666666","23.733333333333334","28.376041666666666",1001.2,Y
"26","52","8.670454978942871","93","0","1413.8666666666666","0","73.01666666666667","0","18.05","0","34.233333333333334","0","42.38333333333333","0","51.2","0","26.45","61.43333333333333","47.416666666666664","110.50312500000001",801.57,N
"27","27","10.090909004211426","142","66.61666666666666","0","119.9","76.7","90.06666666666666","0","73.2","0","72.2","0","84.53333333333333","0","64.11666666666666","0","88.71666666666667","0","46.003125",946.68,Y
"28","57","4.204545497894287","52","27.8","27.016666666666666","57.016666666666666","63.21666666666667","43.3","19.416666666666668","53.78333333333333","61.61666666666667","38.61666666666667","68.43333333333334","50.96666666666667","55.56666666666667","48.2","30.25","71.91666666666667","58.78333333333333","48.493750000000006",822.24,N
"29","25","9.886363983154297","142","22.9","34.083333333333336","44.11666666666667","50.7","35.38333333333333","28.366666666666667","54.65","0","72.33333333333333","64.96666666666667","42.38333333333333","70.41666666666667","25.933333333333334","15.9","55.333333333333336","33.983333333333334","40.715624999999996",857.44,N
"30","36","9.0","124","33.8","25.866666666666667","50.38333333333333","45.5","28.1","0","52.13333333333333","62.15","69.95","0","22.633333333333333","41.38333333333333","14.516666666666667","16.016666666666666","26.5","0","30.55833333333333",980.46,Y
"31","43","8.590909004211426","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","9.566666666666666","0","26.85","20.583333333333332","15.85","0","13.8","19.133333333333333","7.75","4.583333333333333","16.85","15.366666666666667","13.096875",1001.46,Y
"32","22","9.704545021057129","113","20.9","13.65","22.566666666666666","22.25","22.783333333333335","0","34.416666666666664","43.0","33.03333333333333","0","24.183333333333334","0","16.55","0","30.783333333333335","24.166666666666668","19.267708333333335",942.78,Y
"33","47","7.159090995788574","76","26.866666666666667","0","28.45","0","11.466666666666667","0","25.733333333333334","0","33.733333333333334","0","20.05","24.5","11.716666666666667","0","18.133333333333333","0","12.540625",969.32,Y
"34","28","13.488636016845703","175","40.13333333333333","16.716666666666665","38.833333333333336","33.233333333333334","22.8","19.766666666666666","35.9","34.56666666666667","48.266666666666666","32.766666666666666","21.566666666666666","51.016666666666666","12.616666666666667","10.766666666666667","24.133333333333333","28.716666666666665","29.487499999999997",920.42,N
"35","52","4.818181991577148","68","18.116666666666667","0","28.85","0","17.883333333333333","0","25.166666666666668","0","24.933333333333334","0","30.266666666666666","0","9.883333333333333","0","0","0","9.69375",870.56,N
"36","46","6.488636493682861","78","11.533333333333333","0","20.2","0","15.0","16.466666666666665","19.766666666666666","0","23.933333333333334","0","1426.5333333333333","0","8.883333333333333","5.483333333333333","24.066666666666666","0","98.24166666666667",902.77,N
"37","45","6.170454502105713","71","27.416666666666668","0","46.81666666666667","24.916666666666668","28.45","1.1666666666666667","0","1409.9666666666667","0","38.916666666666664","0","42.53333333333333","0","12.316666666666666","23.75","23.783333333333335","105.00208333333333",807.11,N
"38","51","10.534090995788574","119","13.333333333333334","11.816666666666666","0","1408.2166666666667","0","28.233333333333334","29.55","20.85","30.016666666666666","0","11.8","25.55","10.933333333333334","8.1","21.2","20.9","102.53125",863.59,N
"39","33","7.75","136","18.6","15.833333333333334","30.866666666666667","27.5","21.083333333333332","13.25","32.03333333333333","41.016666666666666","24.733333333333334","40.56666666666667","18.716666666666665","29.683333333333334","13.266666666666667","9.616666666666667","22.466666666666665","25.166666666666668","24.025",982.88,Y
"40","49","4.886363506317139","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","13.133333333333333","0","16.95","19.666666666666668","17.666666666666668","0","17.216666666666665","21.583333333333332","5.916666666666667","0","15.433333333333334","0","11.852083333333333",942.49,Y
"41","32","12.363636016845703","157","19.966666666666665","0","32.75","26.066666666666666","23.583333333333332","13.75","18.7","16.733333333333334","17.833333333333332","0","13.833333333333334","0","5.966666666666667","5.433333333333334","18.1","21.6","14.644791666666668",1038.79,Y
"42","52","6.170454502105713","52","36.083333333333336","24.683333333333334","63.21666666666667","0","53.81666666666667","0","84.41666666666667","41.233333333333334","95.56666666666666","62.93333333333333","39.016666666666666","40.78333333333333","39.333333333333336","20.016666666666666","78.33333333333333","102.68333333333334","48.882291666666674",885.93,N
"43","55","7.545454502105713","55","13.683333333333334","14.3","24.133333333333333","20.216666666666665","13.383333333333333","17.816666666666666","29.433333333333334","0","16.2","0","18.983333333333334","0","11.283333333333333","10.7","14.966666666666667","17.616666666666667","13.919791666666665",716.77,N
"44","46","7.931818008422852","89","20.366666666666667","0","30.183333333333334","0","15.85","0","19.666666666666668","16.733333333333334","18.766666666666666","0","14.066666666666666","0","7.033333333333333","0","19.383333333333333","0","10.128124999999999",999.63,Y
"45","29","13.431818008422852","156","49.733333333333334","19.833333333333332","63.81666666666667","64.35","47.46666666666667","53.85","90.73333333333333","77.81666666666666","96.0","104.21666666666667","101.61666666666666","65.93333333333334","65.3","36.18333333333333","88.0","60.016666666666666","67.80416666666666",852.59,N
"46","28","10.261363983154297","148","27.483333333333334","30.866666666666667","42.15","39.53333333333333","41.13333333333333","39.43333333333333","73.05","0","76.93333333333334","0","27.283333333333335","55.983333333333334","31.433333333333334","0","44.05","0","33.083333333333336",941.21,Y
"47","29","15.034090995788574","138","21.283333333333335","13.866666666666667","35.3","60.05","30.233333333333334","22.766666666666666","46.28333333333333","43.06666666666667","68.01666666666667","32.9","28.183333333333334","38.71666666666667","13.183333333333334","8.75","30.283333333333335","39.06666666666667","33.246875",998.81,Y
"48","38","7.659090995788574","88","12.15","0","21.916666666666668","21.166666666666668","15.316666666666666","0","18.216666666666665","0","15.0","20.65","10.516666666666667","0","5.783333333333333","0","14.333333333333334","16.2","10.703125",903.52,N
"49","38","7.954545497894287","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","73.33333333333333","38.53333333333333","1352.2166666666667","68.78333333333333","88.58333333333333","30.966666666666665","69.65","48.166666666666664","20.65","12.383333333333333","49.13333333333333","63.36666666666667","131.46145833333335",954.8,Y
"50","35","8.670454978942871","112","43.7","27.883333333333333","37.68333333333333","0","32.96666666666667","1424.4666666666667","48.35","1411.8166666666666","1391.2333333333333","59.4","33.05","43.916666666666664","29.066666666666666","10.7","1415.2","0","375.58958333333334",866.92,N
"51","31","7.704545497894287","121","15.066666666666666","14.716666666666667","19.583333333333332","18.45","10.033333333333333","10.383333333333333","26.25","20.616666666666667","17.516666666666666","1420.4833333333333","13.65","20.416666666666668","7.816666666666666","6.733333333333333","17.3","18.366666666666667","103.58645833333333",947.33,Y
"52","55","6.511363506317139","70","33.38333333333333","17.983333333333334","41.38333333333333","44.06666666666667","38.55","0","62.733333333333334","0","60.03333333333333","59.0","42.31666666666667","49.4","30.416666666666668","0","67.05","0","34.14479166666666",905.75,N
"53","22","10.488636016845703","137","19.15","24.6","26.4","30.083333333333332","30.9","20.566666666666666","33.8","26.783333333333335","25.733333333333334","0","23.1","29.333333333333332","1426.05","10.266666666666667","32.1","0","109.92916666666666",886.99,N
"54","26","8.954545021057129","158","25.95","15.1","1329.8","23.066666666666666","31.9","0","1377.9833333333333","0","36.81666666666667","0","50.61666666666667","0","28.466666666666665","0","57.766666666666666","0","186.0916666666667",891.73,N
"55","15","13.147727012634277","183","45.36666666666667","63.1","1391.2166666666667","65.81666666666666","33.233333333333334","21.05","1391.25","60.583333333333336","62.95","0","73.28333333333333","0","54.45","54.083333333333336","66.86666666666666","0","211.453125",783.27,N
"56","38","6.590909004211426","94","18.533333333333335","0","29.8","0","18.35","13.85","34.28333333333333","0","31.433333333333334","0","20.3","0","10.366666666666667","0","22.116666666666667","0","12.439583333333335",992.19,Y
"57","36","8.909090995788574","103","56.81666666666667","52.4","87.73333333333333","75.45","48.6","33.1","89.48333333333333","60.55","67.01666666666667","0","57.96666666666667","57.483333333333334","13.45","0","46.766666666666666","0","46.67604166666668",915.02,N
"58","35","10.761363983154297","122","36.75","0","37.03333333333333","0","28.083333333333332","0","1390.3833333333334","0","35.05","0","27.516666666666666","0","13.6","0","35.6","0","100.25104166666665",932.62,Y
"59","37","7.420454502105713","94","18.35","13.7","28.6","31.933333333333334","15.716666666666667","0","26.55","26.133333333333333","30.65","44.78333333333333","23.466666666666665","31.433333333333334","24.116666666666667","0","25.133333333333333","0","21.285416666666666",902.48,N
