ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
1,25,10,8.904762268,3,4,16.39444444,12,5,6,27,2,2,3,2,3,1,Y
2,9,17,5.571428776,3,0,20.79166667,3,1,0,35,6,9,4,12,4,1,Y
3,23,8,8.285714149,1,2,21.975,14,0,15,38,3,3,1,23,3,2,N
4,22,9,9.380952835,3,3.25,22.1625,8,1,3,21,4,2,0,1,0,0,N
5,48,3,14.66666698,0,0.5,25.05833333,10,9,21,32,2,2,0,1,0,2,Y
6,44,2,19.66666603,0,2.5,35.35416667,12,7,28,41,2,11,5,8,2,0,N
7,34,9,13.71428585,0,1,32.03333333,12,8,24,0,0,0,0,0,0,0,N
8,26,12,11.09523773,3,-2,13.28333333,7,2,10,38,3,3,0,2,8,1,N
9,33,5,10.47619057,5,2.75,18.80833333,9,4,15,31,3,3,2,8,5,3,Y
11,47,4,16.09523773,0,0.666666667,35.63333333,19,30,38,0,0,3,0,4,0,0,Y
12,28,5,14.90476227,2,3.333333333,22.98333333,10,4,17,18,2,2,3,3,0,0,Y
13,34,8,11.23809528,4,2,23.16666667,21,8,14,47,2,3,4,43,3,2,Y
14,25,9,9.714285851,5,2,715.8666667,8,0,12,47,2,3,0,12,6,2,Y
15,20,10,9.380952835,1,4,17.9,10,2,7,32,2,2,2,2,4,2,Y
16,34,6,14.95238113,2,2.5,19.96666667,8,16,8,39,3,3,1,3,6,2,Y
17,30,6,10.5714283,1,3.5,147.5916667,21,9,16,24,2,4,2,7,1,2,Y
18,16,12,8.571428299,0,1.5,59.1,13,7,17,28,2,2,0,2,0,0,N
19,31,7,17.38095284,8,1.5,30.075,17,10,22,25,3,2,0,6,5,0,Y
20,24,9,9.857142448,5,0.666666667,31.93333333,8,6,16,42,2,2,6,20,3,2,N
21,13,13,10.4285717,0,0.5,23.00833333,11,1,17,28,2,2,0,9,4,1,N
22,29,4,11.61904716,3,4,23.58333333,13,3,13,15,3,2,3,0,2,2,Y
23,32,5,13.23809528,2,2,21.6625,15,17,18,52,3,4,5,25,4,3,Y
24,18,11,11.71428585,5,0.5,16.35833333,17,10,18,13,2,2,0,1,1,1,Y
25,47,3,19.5714283,3,4,61.85,13,9,11,29,3,3,0,2,0,2,Y
26,18,13,6.333333492,1,0,0,10,4,7,22,7,4,0,10,3,2,N
