,features,imp
5,avg_time_test,0.128568495158
12,CyberRat Assignments,0.123221339165
6, ReviewedActivities,0.104496926337
4,avg_due,0.0973987148323
0,num_logins,0.0803461086649
7, StudyingSupplementalMaterialActivities,0.0710585439997
13,Unit Discussions paticipation,0.0661908234468
2,act_per_day,0.0606907748745
15,Crossword paticipation,0.051866132579
10,Procedures Quiz,0.0434547728347
1,days_no_activities,0.0381231410142
11,Surveys,0.0365786055208
3,num_online_meetings,0.0365146507982
9,Average number of activites accessed before each test,0.03202768278
14,Fluency Drills paticipation,0.0294632879946
8, TotalStudyGuideMaterials,0.0
