above,current,suggested,delta
avg_time_test,1.083291199,-0.29639294808,1.37968414708
 ReviewedActivities,0.072252042,-0.34887414463999994,0.42112618663999996
num_logins,0.5675291,0.10798077148000002,0.45954832852
Unit Discussions paticipation,-0.239905851,-0.25167818263999997,0.011772331639999967
act_per_day,0.58182572,-0.01104921008,0.59287493008
Crossword paticipation,-0.215294086,-0.34554700796000004,0.13025292196000005
Procedures Quiz,1.936308493,0.3244625044400001,1.61184598856
Surveys,1.587342472,-0.06734180196,1.65468427396
num_online_meetings,0.084860911,-0.12050249344000004,0.20536340444000004
Average number of activites accessed before each test,1.311233632,-0.21131069792,1.52254432992
Fluency Drills paticipation,0.304208675,-0.10844329980000002,0.4126519748
