ID,Number of days with 0 activities,Average Activities Per Session,Total Number of Logins,Time Test #1 A,Time Test #1 B,Time Test #2 Part #1 A,Time Test #2 Part #1 B,Time Test #2 Part #2 A,Time Test #2 Part #2 B,Time Test #3 A,Time Test #3 B,Time Test #4 A,Time Test #4 B,Time Test #5 A,Time Test #5 B,Time Test #6 A,Time Test #6 B,Time Test #7 A,Time Test #7 B,Average time taking tests in minutes,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Test#1B TakenTime,Test#2 Part#1B TakenTime,Test#2 Part#2B TakenTime,Test#3B TakenTime,Test#4B TakenTime,Test#5B TakenTime,Test#6B TakenTime,Test#7B TakenTime,Final A Time,Number of late ASR,Number of ASRs,Number of Test B,Number of optinal assignments,Online meetings attended,Procedures Quiz,Surveys,CyberRat Assignments,days between test 1 available and submission,days between test 2 available and submission,days between test 3 available and submission,days between test 4 available and submission,days between test 5 available and submission,days between test 6 available and submission,days between test 7 available and submission,Average number of activites accessed before each test,ASR1,ASR2a,ASR2b,ASR2c,ASR3,ASR4,ASR5,ASR6,ASR7a,ASR7b, Num_of_activities of Study Guide Materials, G1, G2, G3, G4, G5, G6, G7, Number of Studying Supplemental Material Activities, Number of Reviewed Activity,Overall Grade,Above Average?
1,47,6.258426966,72,16.63333333,11.96666667,18.73333333,18.16666667,10.56666667,9.433333333,22.33333333,19.61666667,19.61666667,22.11666667,14.05,17.05,6.333333333,7.45,21.45,19.16666667,15.91770833,0,4,2,3,2,1,3,2,0,4,2,3,2,1,3,2,98,1,10,8,0,3,2,5,18,0,0,3,2,1,3,2,77,4,4,4,13,10,16,8,9,8,8,25,1,7,2,5,5,4,1,16,44,1000.79,Y
2,77,3.528089888,39,13.06666667,18.23333333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.65,4,4,4,0,4,4,4,4,4,4,4,0,4,4,4,4,74,1,10,7,0,3,6,9,4,4,0,0,0,0,0,0,35,21,11,,,,,,,,,8,5,2,1,0,0,0,0,5,8,957.03,Y
3,30,9.449438202,126,29.13333333,16.93333333,28.48333333,27.41666667,15.61666667,14.3,35.3,23.75,26.38333333,38.38333333,19.9,28.8,10.4,7.183333333,16.06666667,14.45,22.03125,2,4,0,4,0,4,0,4,2,4,0,4,0,4,0,4,0,0,10,5,0,11,3,13,1,0,0,0,0,1,2,0,98,2,3,4,11,5,12,5,3,6,6,78,1,18,13,14,9,9,14,3,39,900.63,Y
4,42,9.134831461,124,39.35,29.53333333,105.8166667,66.83333333,63.01666667,-,1398.516667,-,65.86666667,65.85,50.95,43.9,48.98333333,13.78333333,92.86666667,78.56666667,154.5595238,0,3,0,3,0,2,2,4,0,3,0,3,0,2,2,4,82,1,10,7,0,6,4,2,0,3,4,4,4,4,4,4,96,6,6,6,17,8,18,8,8,1,8,6,4,0,0,1,1,0,0,26,44,897.75,N
5,54,5.842696629,88,24.9,-,24.05,-,15.25,-,24.26666667,-,17.81666667,-,12.4,-,8.466666667,-,17.4,-,18.06875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,10,8,0,6,2,5,0,4,3,4,4,4,4,4,77,5,3,8,14,9,16,9,9,8,9,84,9,22,11,17,9,8,8,27,54,922.97,Y
6,32,10.42696629,142,55.56666667,31.48333333,52.08333333,72.15,42.35,51.03333333,79.13333333,71.4,60.41666667,103.9833333,-,1347.3,28.31666667,21.71666667,1384.733333,50.93333333,230.1733333,2,2,1,0,0,0,0,2,2,2,1,0,0,0,0,2,141,0,10,4,0,6,2,13,5,1,2,4,2,7,2,3,116,5,-1,9,16,9,9,4,9,9,9,104,6,42,17,16,11,8,4,18,45,909.7,Y
7,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,0,0,0,4,0,0,4,5,0,0,0,4,0,0,4,5,69,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,8,11,6,3,5,5,91,9,21,8,24,9,5,15,28,53,907.63,Y
8,38,10.02247191,121,43.9,39.83333333,47.7,28.26666667,24.53333333,30.95,26.5,45.26666667,68.76666667,59.66666667,30.81666667,76.73333333,9.016666667,13.06666667,88.96666667,113.1333333,46.69479167,7,8,0,19,13,13,6,5,7,8,0,19,13,13,6,5,116,6,10,7,0,18,3,4,0,0,0,1,1,0,0,0,107,12,9,10,16,10,17,10,11,10,10,50,1,18,5,15,5,4,2,10,63,912.36,Y
9,60,6.853932584,57,19.11666667,-,18.48333333,-,14.13333333,-,23.38333333,-,24.18333333,-,14.03333333,-,9.95,-,15.4,-,17.33541667,2,2,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,1,10,3,0,1,3,4,2,1,2,2,2,2,2,2,80,13,4,11,16,11,18,11,10,8,10,86,2,23,11,28,7,2,13,18,41,968.59,Y
11,80,2.292134831,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN,4,0,3,4,0,3,0,0,4,0,3,4,0,3,0,0,144,1,10,4,0,8,3,6,0,0,0,0,0,0,0,0,0,8,4,6,13,6,2,6,7,7,7,156,11,55,16,30,16,6,22,67,94,974.05,Y
